epoch,loss,train_acc
1,10.311086,17.0535
2,5.703054,40.0815
3,4.447648,48.3772
4,3.945406,52.5672
5,3.591588,55.1618
6,3.302125,57.8408
7,3.140837,59.3866
8,3.017089,60.2167
9,2.903528,61.5239
10,2.805700,62.4932
11,2.733471,62.8809
12,2.680373,63.7855
13,2.633336,63.7557
14,2.560287,64.7497
15,2.574221,64.6354
16,2.510348,64.7994
17,2.481246,65.0828
18,2.403307,66.3055
19,2.429698,65.9128
20,2.395263,66.1663
21,2.373494,66.4297
22,2.300460,67.2747
23,2.309923,66.9318
24,2.286124,66.9318
25,2.295966,67.3841
26,2.231961,67.6972
27,2.260364,67.6276
28,2.241659,67.5729
29,2.246373,67.6177
30,2.240466,67.8513
31,2.199476,67.9507
32,2.203349,68.3086
33,2.168215,68.3384
34,2.155886,68.3533
35,2.153099,68.6466
36,2.139390,68.7609
37,2.162610,68.6118
38,2.095075,68.9547
39,2.094104,69.1038
40,2.098059,68.7708
41,2.093007,69.2877
42,2.071187,69.3921
43,2.099655,68.7857
44,2.074384,69.2281
45,2.096920,69.1138
46,2.070851,68.9249
47,2.071551,69.3722
48,2.021436,69.6307
49,2.029269,69.7351
50,2.055150,69.6009
51,2.032299,69.8593
52,2.021363,69.6506
53,2.017075,69.9090
54,1.995935,70.3216
55,2.011431,69.9041
56,1.991271,69.7053
57,1.998276,70.0234
58,1.990646,69.8444
59,2.001533,70.1725
60,1.989953,70.0929
61,1.983057,70.0383
62,1.948758,70.6894
63,1.997581,69.9339
64,2.010456,69.7152
65,1.959643,70.1327
66,1.958233,70.1725
67,1.970989,70.2570
68,1.955917,70.4458
69,1.967739,70.1427
70,1.896537,70.6844
71,1.949437,70.6745
72,1.947242,70.2470
73,1.955064,70.4359
74,1.911754,70.9677
75,1.934221,70.7242
76,1.946091,70.4856
77,1.921143,70.6546
78,1.884151,71.1765
79,1.918221,70.9379
80,1.918850,70.4707
81,1.895806,70.6993
82,1.914381,70.6397
83,1.895003,71.1218
84,1.889393,71.0373
85,1.887544,71.0274
86,1.885258,71.0224
87,1.888266,70.7143
88,1.895237,70.9429
89,1.869874,71.1715
90,1.906820,71.1566
91,1.889732,71.0274
92,1.884105,71.0025
93,1.873028,71.2560
94,1.896202,71.2163
95,1.890579,70.7838
96,1.901880,70.8882
97,1.884482,71.0274
98,1.870241,71.2262
99,1.865716,70.9578
100,1.909084,70.6645
