epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.7220,0.7833,0.8157,0.9042,0.8869,0.5979,0.7850
1,logit_nll,0.7182,0.7453,0.7516,0.9028,0.8561,0.5452,0.7532
1,maha_embed,0.6005,0.7590,0.8995,0.7830,0.8413,0.6423,0.7543
2,neg_cos,0.8065,0.8638,0.8540,0.8499,0.9329,0.6275,0.8224
2,logit_nll,0.7355,0.7927,0.7777,0.7858,0.8667,0.5414,0.7500
2,maha_embed,0.6347,0.7660,0.9216,0.8376,0.8838,0.6415,0.7808
3,neg_cos,0.8092,0.8600,0.8726,0.9150,0.9046,0.6641,0.8376
3,logit_nll,0.7308,0.8103,0.8058,0.8261,0.8156,0.5445,0.7555
3,maha_embed,0.6513,0.7665,0.9147,0.8795,0.8827,0.6449,0.7899
4,neg_cos,0.8128,0.9175,0.8406,0.8917,0.9253,0.6378,0.8376
4,logit_nll,0.7326,0.7989,0.7721,0.8011,0.8694,0.5354,0.7516
4,maha_embed,0.6662,0.7811,0.9165,0.8332,0.8975,0.6412,0.7893
5,neg_cos,0.7567,0.8146,0.8577,0.9325,0.8525,0.6053,0.8032
5,logit_nll,0.7231,0.7564,0.7759,0.8528,0.8126,0.5156,0.7394
5,maha_embed,0.6312,0.7623,0.9205,0.8571,0.8901,0.6495,0.7851
6,neg_cos,0.7893,0.9164,0.8590,0.9359,0.9432,0.6994,0.8572
6,logit_nll,0.6875,0.8029,0.7753,0.8260,0.8591,0.5333,0.7473
6,maha_embed,0.6854,0.8032,0.9320,0.8379,0.8775,0.6571,0.7988
7,neg_cos,0.7991,0.8632,0.8653,0.8198,0.9364,0.5803,0.8107
7,logit_nll,0.7305,0.7745,0.8074,0.8010,0.8306,0.5181,0.7437
7,maha_embed,0.6633,0.8031,0.9248,0.8122,0.8714,0.6478,0.7871
8,neg_cos,0.7944,0.8873,0.8454,0.9326,0.9219,0.5971,0.8298
8,logit_nll,0.7247,0.7670,0.7777,0.8380,0.8187,0.5387,0.7441
8,maha_embed,0.6650,0.7946,0.9237,0.8409,0.8775,0.6403,0.7903
9,neg_cos,0.7949,0.9134,0.8703,0.9512,0.8256,0.6395,0.8325
9,logit_nll,0.7028,0.8022,0.7782,0.8251,0.7708,0.5531,0.7387
9,maha_embed,0.6814,0.8060,0.9217,0.8547,0.8621,0.6652,0.7985
10,neg_cos,0.7971,0.8748,0.8387,0.9704,0.9106,0.6342,0.8376
10,logit_nll,0.7258,0.7889,0.7437,0.7957,0.8641,0.5314,0.7416
10,maha_embed,0.7056,0.7966,0.9148,0.8543,0.8933,0.6580,0.8038
11,neg_cos,0.8239,0.9282,0.8514,0.9603,0.9494,0.5956,0.8514
11,logit_nll,0.7226,0.7840,0.7662,0.8173,0.8502,0.5203,0.7434
11,maha_embed,0.7164,0.8201,0.9319,0.8836,0.9024,0.6525,0.8178
12,neg_cos,0.7963,0.8567,0.8055,0.9036,0.8992,0.7093,0.8284
12,logit_nll,0.6977,0.7795,0.7674,0.6851,0.8240,0.5318,0.7143
12,maha_embed,0.6974,0.8113,0.9266,0.8292,0.8818,0.6568,0.8005
13,neg_cos,0.7931,0.8991,0.8471,0.9384,0.8839,0.6106,0.8287
13,logit_nll,0.7077,0.8242,0.7675,0.7480,0.8134,0.5379,0.7331
