epoch,train_loss,train_acc
1,3.830201,66.3850
2,0.437279,94.7264
3,0.197303,97.1867
4,0.138302,98.0764
5,0.138201,97.9671
6,0.112156,98.5685
7,0.066290,98.9960
8,0.079062,98.9164
9,0.101514,98.5834
10,0.091870,98.7822
11,0.031532,99.4831
12,0.045450,99.2743
13,0.053270,99.2346
14,0.079905,98.8866
15,0.071801,99.1401
16,0.035679,99.4533
17,0.039363,99.4185
18,0.073194,99.1351
19,0.051960,99.2843
20,0.044251,99.3340
21,0.037159,99.4980
22,0.057009,99.2097
23,0.035362,99.5228
24,0.031114,99.6372
25,0.015077,99.7167
26,0.040330,99.4533
27,0.051820,99.3638
28,0.067259,99.1948
29,0.032879,99.5924
30,0.017058,99.7266
31,0.011478,99.7962
32,0.049218,99.4334
33,0.045895,99.3936
34,0.031219,99.5576
35,0.011456,99.7664
36,0.027350,99.6918
37,0.030389,99.6322
38,0.032014,99.5477
39,0.027573,99.6421
40,0.018235,99.7465
41,0.026995,99.6819
42,0.019005,99.7117
43,0.020566,99.6720
44,0.019841,99.7366
45,0.057600,99.3588
46,0.011750,99.7863
47,0.040984,99.5378
48,0.024298,99.6372
49,0.012857,99.7515
50,0.030926,99.5626
