epoch,section,n,neg_cos,maha_embed
1,ToyCar/id_01,614,0.7421,0.8575
1,ToyCar/id_02,615,0.8796,0.9078
1,ToyCar/id_03,615,0.9684,0.7402
1,ToyCar/id_04,615,0.9999,0.8990
1,ToyConveyor/id_01,1200,0.6778,0.7115
1,ToyConveyor/id_02,1155,0.5341,0.5774
1,ToyConveyor/id_03,1154,0.6653,0.7012
2,ToyCar/id_01,614,0.7947,0.8823
2,ToyCar/id_02,615,0.9013,0.9083
2,ToyCar/id_03,615,0.9699,0.7748
2,ToyCar/id_04,615,0.9999,0.9115
2,ToyConveyor/id_01,1200,0.7511,0.7036
2,ToyConveyor/id_02,1155,0.5582,0.5810
2,ToyConveyor/id_03,1154,0.6642,0.6864
3,ToyCar/id_01,614,0.7815,0.8847
3,ToyCar/id_02,615,0.9222,0.9445
3,ToyCar/id_03,615,0.9553,0.8314
3,ToyCar/id_04,615,0.9999,0.9438
3,ToyConveyor/id_01,1200,0.7194,0.7009
3,ToyConveyor/id_02,1155,0.5115,0.5769
3,ToyConveyor/id_03,1154,0.6265,0.6764
4,ToyCar/id_01,614,0.8198,0.8766
4,ToyCar/id_02,615,0.8735,0.9294
4,ToyCar/id_03,615,0.8882,0.7985
4,ToyCar/id_04,615,1.0000,0.9362
4,ToyConveyor/id_01,1200,0.7802,0.7115
4,ToyConveyor/id_02,1155,0.5720,0.5807
4,ToyConveyor/id_03,1154,0.7004,0.7127
5,ToyCar/id_01,614,0.8671,0.8919
5,ToyCar/id_02,615,0.9240,0.9413
5,ToyCar/id_03,615,0.9538,0.8350
5,ToyCar/id_04,615,1.0000,0.9442
5,ToyConveyor/id_01,1200,0.7993,0.7367
5,ToyConveyor/id_02,1155,0.5631,0.5787
5,ToyConveyor/id_03,1154,0.6586,0.6927
6,ToyCar/id_01,614,0.8711,0.8725
6,ToyCar/id_02,615,0.9503,0.9316
6,ToyCar/id_03,615,0.9669,0.8386
6,ToyCar/id_04,615,0.9999,0.9300
6,ToyConveyor/id_01,1200,0.7582,0.7554
6,ToyConveyor/id_02,1155,0.5152,0.5807
6,ToyConveyor/id_03,1154,0.7363,0.6958
7,ToyCar/id_01,614,0.8532,0.8855
7,ToyCar/id_02,615,0.8511,0.9225
7,ToyCar/id_03,615,0.9893,0.8380
7,ToyCar/id_04,615,1.0000,0.9297
7,ToyConveyor/id_01,1200,0.7462,0.7572
7,ToyConveyor/id_02,1155,0.5013,0.5626
7,ToyConveyor/id_03,1154,0.7233,0.7124
8,ToyCar/id_01,614,0.8222,0.8636
8,ToyCar/id_02,615,0.9271,0.9461
8,ToyCar/id_03,615,0.9947,0.8440
8,ToyCar/id_04,615,1.0000,0.8960
8,ToyConveyor/id_01,1200,0.8167,0.7176
8,ToyConveyor/id_02,1155,0.5643,0.5916
8,ToyConveyor/id_03,1154,0.6375,0.7012
9,ToyCar/id_01,614,0.8244,0.8606
9,ToyCar/id_02,615,0.9501,0.9267
9,ToyCar/id_03,615,0.9870,0.8142
9,ToyCar/id_04,615,0.9987,0.8821
9,ToyConveyor/id_01,1200,0.8858,0.7350
9,ToyConveyor/id_02,1155,0.5181,0.5957
9,ToyConveyor/id_03,1154,0.6819,0.7058
10,ToyCar/id_01,614,0.8774,0.8639
10,ToyCar/id_02,615,0.9295,0.9244
10,ToyCar/id_03,615,0.9644,0.8081
10,ToyCar/id_04,615,0.9998,0.8635
10,ToyConveyor/id_01,1200,0.7652,0.7060
10,ToyConveyor/id_02,1155,0.5612,0.5695
10,ToyConveyor/id_03,1154,0.6857,0.7128
11,ToyCar/id_01,614,0.8155,0.8596
11,ToyCar/id_02,615,0.9271,0.9274
11,ToyCar/id_03,615,0.9562,0.8229
11,ToyCar/id_04,615,0.9999,0.8797
11,ToyConveyor/id_01,1200,0.7492,0.6949
11,ToyConveyor/id_02,1155,0.5502,0.5819
11,ToyConveyor/id_03,1154,0.7904,0.7000
12,ToyCar/id_01,614,0.8326,0.8460
12,ToyCar/id_02,615,0.9247,0.9225
12,ToyCar/id_03,615,0.9391,0.7992
12,ToyCar/id_04,615,0.9999,0.8897
12,ToyConveyor/id_01,1200,0.7817,0.7220
12,ToyConveyor/id_02,1155,0.5461,0.5938
12,ToyConveyor/id_03,1154,0.7428,0.6957
13,ToyCar/id_01,614,0.8374,0.8406
13,ToyCar/id_02,615,0.9050,0.9061
13,ToyCar/id_03,615,0.9576,0.7725
13,ToyCar/id_04,615,0.9974,0.8771
13,ToyConveyor/id_01,1200,0.6428,0.6979
13,ToyConveyor/id_02,1155,0.5545,0.5877
13,ToyConveyor/id_03,1154,0.6879,0.6880
14,ToyCar/id_01,614,0.7534,0.8151
14,ToyCar/id_02,615,0.9246,0.8752
14,ToyCar/id_03,615,0.9164,0.7602
14,ToyCar/id_04,615,0.9997,0.8833
14,ToyConveyor/id_01,1200,0.6565,0.7333
14,ToyConveyor/id_02,1155,0.5487,0.6034
14,ToyConveyor/id_03,1154,0.7557,0.7076
15,ToyCar/id_01,614,0.8457,0.8176
15,ToyCar/id_02,615,0.9047,0.8878
15,ToyCar/id_03,615,0.8701,0.7763
15,ToyCar/id_04,615,0.9969,0.8309
15,ToyConveyor/id_01,1200,0.7627,0.7155
15,ToyConveyor/id_02,1155,0.5384,0.5803
15,ToyConveyor/id_03,1154,0.6800,0.7047
16,ToyCar/id_01,614,0.7714,0.8076
16,ToyCar/id_02,615,0.8270,0.9133
16,ToyCar/id_03,615,0.9893,0.7673
16,ToyCar/id_04,615,0.9991,0.8913
16,ToyConveyor/id_01,1200,0.6997,0.7187
16,ToyConveyor/id_02,1155,0.5974,0.5902
16,ToyConveyor/id_03,1154,0.6921,0.6991
17,ToyCar/id_01,614,0.7954,0.7695
17,ToyCar/id_02,615,0.9023,0.8718
17,ToyCar/id_03,615,0.7773,0.7504
17,ToyCar/id_04,615,0.9991,0.8326
17,ToyConveyor/id_01,1200,0.7741,0.7541
17,ToyConveyor/id_02,1155,0.5720,0.6027
17,ToyConveyor/id_03,1154,0.6743,0.6745
18,ToyCar/id_01,614,0.7866,0.8233
18,ToyCar/id_02,615,0.8909,0.9121
18,ToyCar/id_03,615,0.9468,0.7254
18,ToyCar/id_04,615,0.9998,0.8522
18,ToyConveyor/id_01,1200,0.7948,0.7147
18,ToyConveyor/id_02,1155,0.5675,0.5758
18,ToyConveyor/id_03,1154,0.6135,0.7013
19,ToyCar/id_01,614,0.8150,0.7994
19,ToyCar/id_02,615,0.8726,0.9146
19,ToyCar/id_03,615,0.9512,0.7694
19,ToyCar/id_04,615,0.9998,0.8832
19,ToyConveyor/id_01,1200,0.7824,0.7041
19,ToyConveyor/id_02,1155,0.5682,0.5773
19,ToyConveyor/id_03,1154,0.6145,0.7043
20,ToyCar/id_01,614,0.7171,0.7771
20,ToyCar/id_02,615,0.8641,0.9067
20,ToyCar/id_03,615,0.8649,0.7192
20,ToyCar/id_04,615,0.9993,0.8710
20,ToyConveyor/id_01,1200,0.6151,0.7105
