epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.8170,0.8496,0.9187,0.9272,0.8562,0.6124,0.8302
1,logit_nll,0.7671,0.7670,0.8205,0.8976,0.8671,0.5342,0.7756
1,maha_embed,0.6226,0.7571,0.8969,0.7945,0.8561,0.6620,0.7648
2,neg_cos,0.7742,0.8437,0.8177,0.9541,0.8960,0.6569,0.8237
2,logit_nll,0.7498,0.7760,0.7509,0.9221,0.8747,0.5456,0.7699
2,maha_embed,0.6356,0.7797,0.9165,0.8194,0.8726,0.6566,0.7801
3,neg_cos,0.8224,0.8901,0.8864,0.9531,0.9088,0.6260,0.8478
3,logit_nll,0.7676,0.7704,0.7815,0.8956,0.8577,0.5392,0.7687
3,maha_embed,0.6453,0.7690,0.9026,0.8159,0.9051,0.6522,0.7817
4,neg_cos,0.8299,0.8680,0.8873,0.8390,0.8777,0.6571,0.8265
4,logit_nll,0.7641,0.7884,0.8062,0.8150,0.8521,0.5533,0.7632
4,maha_embed,0.6969,0.7908,0.9085,0.8168,0.8896,0.6696,0.7954
5,neg_cos,0.8034,0.9109,0.8611,0.9217,0.9422,0.6879,0.8545
5,logit_nll,0.7267,0.7940,0.7662,0.8205,0.8554,0.5348,0.7496
5,maha_embed,0.6794,0.7928,0.9137,0.8280,0.9065,0.6714,0.7986
6,neg_cos,0.7878,0.8792,0.8112,0.9579,0.9419,0.6131,0.8318
6,logit_nll,0.7116,0.7687,0.7650,0.8291,0.8481,0.5663,0.7481
6,maha_embed,0.7021,0.7780,0.9091,0.8051,0.8955,0.6805,0.7950
7,neg_cos,0.7521,0.8908,0.8126,0.9236,0.9265,0.6646,0.8284
7,logit_nll,0.6932,0.7940,0.7569,0.7831,0.8621,0.5587,0.7413
7,maha_embed,0.6654,0.7926,0.9094,0.8128,0.8956,0.6797,0.7926
8,neg_cos,0.7936,0.8500,0.8593,0.9819,0.9520,0.6607,0.8496
8,logit_nll,0.7295,0.7618,0.7574,0.9225,0.8707,0.5472,0.7649
8,maha_embed,0.7040,0.8017,0.9018,0.7856,0.8890,0.6709,0.7922
9,neg_cos,0.7822,0.8776,0.7635,0.9723,0.9306,0.7002,0.8378
9,logit_nll,0.7109,0.8058,0.7334,0.8247,0.8451,0.5641,0.7473
9,maha_embed,0.7011,0.8121,0.9055,0.7939,0.8730,0.6810,0.7944
10,neg_cos,0.7634,0.8975,0.8883,0.9640,0.9407,0.6680,0.8537
10,logit_nll,0.7174,0.7632,0.7828,0.8289,0.8476,0.5369,0.7461
10,maha_embed,0.6867,0.8059,0.9215,0.8295,0.8675,0.6632,0.7957
11,neg_cos,0.8273,0.8819,0.8565,0.9734,0.9191,0.7000,0.8597
11,logit_nll,0.7421,0.7825,0.7580,0.8226,0.8477,0.5350,0.7480
11,maha_embed,0.7372,0.7959,0.9115,0.8611,0.8751,0.6611,0.8070
12,neg_cos,0.7362,0.8284,0.8779,0.9549,0.9179,0.6956,0.8352
12,logit_nll,0.7046,0.7835,0.7897,0.8297,0.8473,0.5459,0.7501
12,maha_embed,0.6682,0.7781,0.9177,0.8194,0.8667,0.6724,0.7871
13,neg_cos,0.8215,0.9267,0.8431,0.9748,0.9285,0.6165,0.8519
13,logit_nll,0.7275,0.7930,0.7856,0.8691,0.8454,0.5152,0.7560
13,maha_embed,0.7133,0.8232,0.9153,0.8461,0.8503,0.6599,0.8014
14,neg_cos,0.8137,0.9259,0.8803,0.9588,0.8950,0.6512,0.8541
14,logit_nll,0.7139,0.7864,0.7565,0.7912,0.8340,0.5243,0.7344
14,maha_embed,0.7328,0.8053,0.9130,0.7984,0.8341,0.6812,0.7942
15,neg_cos,0.7880,0.8963,0.8000,0.9646,0.9029,0.6447,0.8328
15,logit_nll,0.6923,0.7784,0.7627,0.8384,0.8279,0.5283,0.7380
15,maha_embed,0.7020,0.8111,0.9111,0.8063,0.8285,0.6665,0.7876
16,neg_cos,0.7910,0.8888,0.8575,0.8634,0.9119,0.6309,0.8239
16,logit_nll,0.6990,0.8214,0.7628,0.8004,0.8168,0.5243,0.7374
16,maha_embed,0.7223,0.8246,0.9311,0.8164,0.8468,0.6715,0.8021
17,neg_cos,0.8346,0.8850,0.8526,0.9833,0.8550,0.6693,0.8466
17,logit_nll,0.7130,0.7918,0.7668,0.8639,0.8042,0.5316,0.7452
17,maha_embed,0.7220,0.8057,0.9227,0.8429,0.8048,0.6800,0.7964
18,neg_cos,0.8430,0.9073,0.8647,0.9266,0.8860,0.6575,0.8475
18,logit_nll,0.7149,0.8072,0.7840,0.8559,0.8458,0.5525,0.7600
18,maha_embed,0.7457,0.8472,0.9363,0.8333,0.8308,0.6663,0.8099
19,neg_cos,0.7751,0.8889,0.8717,0.9447,0.9166,0.6622,0.8432
19,logit_nll,0.7397,0.8279,0.7964,0.8289,0.8435,0.5318,0.7614
19,maha_embed,0.6971,0.8416,0.9107,0.8493,0.8456,0.6636,0.8013
20,neg_cos,0.7752,0.8921,0.7713,0.8946,0.8390,0.5783,0.7917
20,logit_nll,0.7490,0.8076,0.7473,0.8290,0.8011,0.5349,0.7448
20,maha_embed,0.7616,0.8161,0.9122,0.7848,0.8237,0.6636,0.7937
21,neg_cos,0.8235,0.9133,0.8583,0.9887,0.8731,0.6459,0.8505
21,logit_nll,0.7452,0.7804,0.7659,0.8664,0.8272,0.5280,0.7522
21,maha_embed,0.7320,0.8408,0.9219,0.8483,0.8402,0.6768,0.8100
22,neg_cos,0.7896,0.9344,0.8531,0.9552,0.9252,0.6944,0.8586
22,logit_nll,0.7092,0.7998,0.7623,0.8507,0.8528,0.5421,0.7528
22,maha_embed,0.7238,0.8293,0.9187,0.8413,0.8639,0.6591,0.8060
23,neg_cos,0.8021,0.9006,0.8429,0.9042,0.8873,0.6054,0.8238
23,logit_nll,0.7441,0.7799,0.7595,0.7296,0.8487,0.5401,0.7336
23,maha_embed,0.7361,0.8301,0.9126,0.8277,0.8140,0.6707,0.7985
24,neg_cos,0.8075,0.8957,0.8439,0.9230,0.9044,0.6838,0.8430
24,logit_nll,0.7732,0.7663,0.7624,0.7887,0.8486,0.5333,0.7454
24,maha_embed,0.7644,0.8507,0.9018,0.8450,0.8529,0.6731,0.8147
25,neg_cos,0.8209,0.8835,0.8378,0.9550,0.8324,0.6058,0.8225
25,logit_nll,0.7503,0.7456,0.7489,0.7886,0.8241,0.5262,0.7306
25,maha_embed,0.7530,0.8404,0.9068,0.8381,0.8411,0.6765,0.8093
26,neg_cos,0.7802,0.8908,0.8549,0.9518,0.8376,0.4806,0.7993
26,logit_nll,0.7130,0.7859,0.7525,0.8020,0.8227,0.5122,0.7314
26,maha_embed,0.7437,0.8216,0.9039,0.8506,0.8404,0.6722,0.8054
27,neg_cos,0.7860,0.9364,0.8318,0.9660,0.8855,0.6619,0.8446
27,logit_nll,0.7026,0.8182,0.7638,0.8267,0.8223,0.5418,0.7459
27,maha_embed,0.7307,0.8457,0.8916,0.8286,0.8230,0.6838,0.8006
28,neg_cos,0.8200,0.9061,0.8162,0.9514,0.8624,0.6458,0.8336
28,logit_nll,0.7132,0.7808,0.7651,0.7878,0.8370,0.5426,0.7378
28,maha_embed,0.7361,0.8249,0.8923,0.8611,0.8196,0.6639,0.7997
29,neg_cos,0.8218,0.8764,0.8660,0.9721,0.9245,0.5756,0.8394
29,logit_nll,0.7181,0.7653,0.7668,0.7766,0.8231,0.5217,0.7286
29,maha_embed,0.7676,0.8220,0.9217,0.8547,0.8115,0.6391,0.8028
30,neg_cos,0.8173,0.8708,0.8425,0.9834,0.9026,0.6066,0.8372
30,logit_nll,0.7395,0.7832,0.7604,0.8125,0.8266,0.5199,0.7403
30,maha_embed,0.7466,0.8025,0.9118,0.8966,0.7868,0.6528,0.7995
31,neg_cos,0.7885,0.9072,0.9030,0.9885,0.9157,0.5574,0.8434
31,logit_nll,0.7131,0.7553,0.7669,0.8958,0.8206,0.5198,0.7452
31,maha_embed,0.7721,0.8402,0.9190,0.8650,0.7995,0.6578,0.8089
32,neg_cos,0.8274,0.8897,0.9262,0.9191,0.9007,0.6418,0.8508
32,logit_nll,0.7394,0.7670,0.8053,0.7258,0.8337,0.5496,0.7368
32,maha_embed,0.7253,0.8218,0.9352,0.9181,0.7607,0.6762,0.8062
33,neg_cos,0.7843,0.9238,0.8303,0.9742,0.8718,0.6040,0.8314
33,logit_nll,0.6807,0.7888,0.7664,0.8215,0.7951,0.5225,0.7292
33,maha_embed,0.7200,0.8284,0.8988,0.8833,0.8141,0.6620,0.8011
34,neg_cos,0.8145,0.8719,0.8728,0.9112,0.8696,0.6422,0.8304
34,logit_nll,0.7175,0.7998,0.7271,0.7498,0.8182,0.5469,0.7265
34,maha_embed,0.7256,0.8188,0.9199,0.8416,0.7865,0.6627,0.7925
35,neg_cos,0.8064,0.8479,0.8655,0.9245,0.8956,0.5494,0.8149
