epoch,train_loss,train_acc
1,3.657703,89.7709
2,0.425956,99.0109
3,0.209955,99.5079
4,0.159533,99.6819
5,0.125348,99.7564
6,0.078856,99.8459
7,0.067593,99.8907
8,0.078676,99.8360
9,0.069229,99.8658
10,0.071281,99.8260
11,0.080999,99.8012
12,0.059221,99.8956
13,0.078186,99.8260
14,0.055296,99.8807
15,0.038422,99.9254
16,0.026907,99.9453
17,0.079303,99.8409
18,0.047783,99.9105
19,0.067617,99.8608
20,0.042274,99.9354
21,0.034098,99.9354
22,0.041698,99.9155
23,0.038278,99.9254
24,0.027943,99.9404
25,0.020564,99.9602
26,0.069827,99.8409
27,0.017815,99.9901
28,0.026085,99.9602
29,0.065920,99.8658
30,0.042244,99.9155
31,0.016032,99.9702
32,0.024021,99.9453
33,0.039241,99.9254
34,0.035921,99.9254
35,0.024300,99.9553
36,0.044696,99.9056
37,0.029564,99.9354
38,0.015326,99.9702
39,0.021115,99.9503
40,0.045100,99.9354
41,0.035038,99.9105
42,0.020030,99.9602
43,0.015082,99.9702
44,0.001400,100.0000
45,0.010241,99.9751
46,0.038023,99.9105
47,0.040142,99.9105
48,0.029025,99.9453
49,0.020608,99.9553
50,0.036663,99.9254
