epoch,section,n,neg_cos,maha_embed
1,ToyCar/id_01,614,0.6947,0.8396
1,ToyCar/id_02,615,0.8137,0.9082
1,ToyCar/id_03,615,0.7136,0.7511
1,ToyCar/id_04,615,0.9980,0.9174
1,ToyConveyor/id_01,1200,0.7582,0.6647
1,ToyConveyor/id_02,1155,0.5441,0.5683
1,ToyConveyor/id_03,1154,0.6288,0.7118
2,ToyCar/id_01,614,0.8294,0.8396
2,ToyCar/id_02,615,0.8907,0.9293
2,ToyCar/id_03,615,0.9272,0.8274
2,ToyCar/id_04,615,0.9993,0.9417
2,ToyConveyor/id_01,1200,0.7252,0.6725
2,ToyConveyor/id_02,1155,0.5717,0.5990
2,ToyConveyor/id_03,1154,0.7532,0.7245
3,ToyCar/id_01,614,0.7915,0.8526
3,ToyCar/id_02,615,0.9041,0.9329
3,ToyCar/id_03,615,0.9173,0.8255
3,ToyCar/id_04,615,0.9999,0.9531
3,ToyConveyor/id_01,1200,0.8469,0.6973
3,ToyConveyor/id_02,1155,0.5473,0.6096
3,ToyConveyor/id_03,1154,0.6329,0.7189
4,ToyCar/id_01,614,0.7840,0.8776
4,ToyCar/id_02,615,0.8500,0.9455
4,ToyCar/id_03,615,0.9798,0.8788
4,ToyCar/id_04,615,0.9986,0.9640
4,ToyConveyor/id_01,1200,0.7876,0.6754
4,ToyConveyor/id_02,1155,0.5293,0.6002
4,ToyConveyor/id_03,1154,0.6950,0.7142
5,ToyCar/id_01,614,0.8365,0.8537
5,ToyCar/id_02,615,0.9158,0.9256
5,ToyCar/id_03,615,0.9604,0.8237
5,ToyCar/id_04,615,0.9994,0.9294
5,ToyConveyor/id_01,1200,0.7353,0.6841
5,ToyConveyor/id_02,1155,0.5490,0.6037
5,ToyConveyor/id_03,1154,0.6410,0.7080
6,ToyCar/id_01,614,0.8291,0.8586
6,ToyCar/id_02,615,0.9244,0.9305
6,ToyCar/id_03,615,0.9510,0.8238
6,ToyCar/id_04,615,0.9993,0.9574
6,ToyConveyor/id_01,1200,0.8674,0.7128
6,ToyConveyor/id_02,1155,0.5903,0.5946
6,ToyConveyor/id_03,1154,0.5512,0.6963
7,ToyCar/id_01,614,0.8315,0.8532
7,ToyCar/id_02,615,0.8999,0.9303
7,ToyCar/id_03,615,0.9597,0.8140
7,ToyCar/id_04,615,0.9996,0.9412
7,ToyConveyor/id_01,1200,0.7701,0.7027
7,ToyConveyor/id_02,1155,0.6001,0.5917
7,ToyConveyor/id_03,1154,0.7746,0.7140
8,ToyCar/id_01,614,0.8233,0.8500
8,ToyCar/id_02,615,0.8502,0.9267
8,ToyCar/id_03,615,0.8845,0.8457
8,ToyCar/id_04,615,0.9996,0.9358
8,ToyConveyor/id_01,1200,0.8397,0.7238
8,ToyConveyor/id_02,1155,0.4903,0.6045
8,ToyConveyor/id_03,1154,0.6932,0.6846
9,ToyCar/id_01,614,0.8201,0.8638
9,ToyCar/id_02,615,0.9176,0.9354
9,ToyCar/id_03,615,0.9138,0.8430
9,ToyCar/id_04,615,0.9998,0.9619
9,ToyConveyor/id_01,1200,0.7535,0.7021
9,ToyConveyor/id_02,1155,0.5041,0.6035
9,ToyConveyor/id_03,1154,0.6812,0.7161
10,ToyCar/id_01,614,0.8532,0.8520
10,ToyCar/id_02,615,0.9634,0.9299
10,ToyCar/id_03,615,0.9701,0.8468
10,ToyCar/id_04,615,0.9994,0.9468
10,ToyConveyor/id_01,1200,0.7841,0.6879
10,ToyConveyor/id_02,1155,0.5222,0.5873
10,ToyConveyor/id_03,1154,0.7754,0.7089
11,ToyCar/id_01,614,0.7895,0.8470
11,ToyCar/id_02,615,0.9439,0.9276
11,ToyCar/id_03,615,0.9629,0.8427
11,ToyCar/id_04,615,0.9995,0.9418
11,ToyConveyor/id_01,1200,0.7293,0.7210
11,ToyConveyor/id_02,1155,0.5759,0.5936
11,ToyConveyor/id_03,1154,0.7016,0.6952
12,ToyCar/id_01,614,0.8175,0.8319
12,ToyCar/id_02,615,0.9242,0.9290
12,ToyCar/id_03,615,0.9566,0.8626
12,ToyCar/id_04,615,0.9907,0.9507
12,ToyConveyor/id_01,1200,0.8489,0.7147
12,ToyConveyor/id_02,1155,0.5148,0.5875
12,ToyConveyor/id_03,1154,0.6489,0.6903
13,ToyCar/id_01,614,0.8070,0.7989
13,ToyCar/id_02,615,0.8833,0.8961
13,ToyCar/id_03,615,0.9551,0.8598
13,ToyCar/id_04,615,0.9980,0.9448
13,ToyConveyor/id_01,1200,0.8356,0.7236
13,ToyConveyor/id_02,1155,0.5429,0.5802
13,ToyConveyor/id_03,1154,0.5443,0.6632
14,ToyCar/id_01,614,0.8232,0.8549
14,ToyCar/id_02,615,0.9100,0.9208
14,ToyCar/id_03,615,0.9201,0.8882
