epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.7963,0.8618,0.8513,0.8925,0.8107,0.6495,0.8103
1,logit_nll,0.7474,0.8138,0.7919,0.8425,0.8067,0.5685,0.7618
1,maha_embed,0.6053,0.7638,0.8930,0.7916,0.8561,0.6444,0.7590
2,neg_cos,0.8034,0.8697,0.8509,0.9818,0.9161,0.6675,0.8482
2,logit_nll,0.7427,0.7919,0.7804,0.9368,0.8596,0.5369,0.7747
2,maha_embed,0.6322,0.7624,0.9210,0.8453,0.8880,0.6606,0.7849
3,neg_cos,0.8311,0.9214,0.8777,0.9137,0.9122,0.6810,0.8562
3,logit_nll,0.7110,0.8203,0.7887,0.8358,0.8682,0.5565,0.7634
3,maha_embed,0.6697,0.7814,0.9202,0.8388,0.8949,0.6698,0.7958
4,neg_cos,0.7989,0.9001,0.8607,0.9620,0.9150,0.6775,0.8524
4,logit_nll,0.7417,0.8222,0.7624,0.9014,0.8558,0.5266,0.7684
4,maha_embed,0.6894,0.7637,0.9157,0.8301,0.9190,0.6580,0.7960
5,neg_cos,0.8318,0.9142,0.8751,0.9686,0.9359,0.6447,0.8617
5,logit_nll,0.7124,0.8165,0.7660,0.8794,0.8637,0.5380,0.7627
5,maha_embed,0.6839,0.7931,0.9162,0.8548,0.8855,0.6628,0.7994
6,neg_cos,0.7656,0.8937,0.8742,0.8840,0.9347,0.6891,0.8402
6,logit_nll,0.7201,0.8231,0.7672,0.8250,0.8728,0.5519,0.7600
6,maha_embed,0.6506,0.7837,0.9270,0.8580,0.8961,0.6681,0.7972
7,neg_cos,0.8378,0.9056,0.8642,0.9524,0.9240,0.7068,0.8651
7,logit_nll,0.7366,0.8388,0.7832,0.8676,0.8318,0.5355,0.7656
7,maha_embed,0.6758,0.7790,0.9131,0.8348,0.8879,0.6690,0.7933
8,neg_cos,0.7881,0.9069,0.8827,0.9708,0.8886,0.6726,0.8516
8,logit_nll,0.6843,0.7978,0.7678,0.8730,0.8111,0.5428,0.7461
8,maha_embed,0.6922,0.7921,0.9324,0.8354,0.8904,0.6732,0.8026
9,neg_cos,0.7982,0.9102,0.8792,0.9825,0.8727,0.6261,0.8448
9,logit_nll,0.7395,0.7536,0.7616,0.9067,0.8509,0.5183,0.7551
9,maha_embed,0.7094,0.8108,0.9286,0.8415,0.9034,0.6733,0.8112
10,neg_cos,0.8338,0.9085,0.8844,0.9638,0.9336,0.6956,0.8700
10,logit_nll,0.7415,0.7970,0.7619,0.8885,0.8668,0.5164,0.7620
10,maha_embed,0.7425,0.8062,0.9355,0.8614,0.8967,0.6605,0.8171
11,neg_cos,0.8828,0.9065,0.8821,0.9714,0.9327,0.6748,0.8751
11,logit_nll,0.7562,0.7629,0.7671,0.8972,0.8489,0.5232,0.7593
11,maha_embed,0.7393,0.8237,0.9226,0.8758,0.8911,0.6709,0.8206
12,neg_cos,0.7908,0.8852,0.8586,0.9696,0.9281,0.6802,0.8521
12,logit_nll,0.7170,0.7793,0.7649,0.8424,0.8261,0.5361,0.7443
12,maha_embed,0.7436,0.8120,0.9214,0.8787,0.8948,0.6656,0.8193
13,neg_cos,0.7896,0.9020,0.8422,0.9438,0.9122,0.5890,0.8298
13,logit_nll,0.7135,0.8052,0.7547,0.8714,0.8469,0.5920,0.7639
13,maha_embed,0.7444,0.7863,0.9230,0.7960,0.8749,0.6586,0.7972
14,neg_cos,0.8124,0.8295,0.8262,0.9615,0.9205,0.6577,0.8346
14,logit_nll,0.7083,0.7531,0.7515,0.8739,0.8216,0.5304,0.7398
14,maha_embed,0.7514,0.7930,0.9289,0.8756,0.9073,0.6520,0.8180
15,neg_cos,0.8272,0.9061,0.8940,0.9574,0.8489,0.5372,0.8285
15,logit_nll,0.7216,0.7859,0.7908,0.8633,0.8015,0.5120,0.7458
15,maha_embed,0.7504,0.8255,0.9374,0.8644,0.8635,0.6643,0.8176
16,neg_cos,0.8359,0.8902,0.8542,0.9336,0.9336,0.6017,0.8415
16,logit_nll,0.7171,0.7918,0.7627,0.7996,0.8509,0.5212,0.7405
16,maha_embed,0.7194,0.8182,0.9270,0.8667,0.8801,0.6544,0.8110
17,neg_cos,0.8327,0.8450,0.8307,0.9391,0.9229,0.6237,0.8324
17,logit_nll,0.7154,0.7864,0.7634,0.7109,0.8312,0.5280,0.7226
17,maha_embed,0.7506,0.8162,0.9182,0.8446,0.8587,0.6557,0.8073
18,neg_cos,0.8101,0.8836,0.8335,0.9694,0.8699,0.5979,0.8274
18,logit_nll,0.7304,0.7757,0.7629,0.8156,0.8276,0.5183,0.7384
18,maha_embed,0.7343,0.8200,0.9394,0.9029,0.8730,0.6549,0.8207
19,neg_cos,0.7711,0.8927,0.8018,0.9281,0.9104,0.6490,0.8255
19,logit_nll,0.7389,0.7636,0.7521,0.7718,0.8182,0.5397,0.7307
19,maha_embed,0.7313,0.8399,0.9183,0.8244,0.8317,0.6529,0.7997
20,neg_cos,0.7772,0.8886,0.8019,0.9467,0.8555,0.6885,0.8264
20,logit_nll,0.7576,0.8310,0.7267,0.8599,0.8171,0.5371,0.7549
20,maha_embed,0.7586,0.8242,0.9132,0.8662,0.8241,0.6532,0.8066
