epoch,train_loss,train_acc
1,3.678742,89.5820
2,0.434961,99.0159
3,0.204019,99.5725
4,0.151481,99.7067
5,0.123279,99.7217
6,0.126215,99.7664
7,0.085672,99.8459
8,0.100525,99.8062
9,0.075864,99.8310
10,0.066449,99.8807
11,0.052102,99.8907
12,0.061145,99.8658
13,0.101515,99.7465
14,0.035601,99.9404
15,0.072608,99.8310
16,0.055129,99.8907
17,0.046183,99.9006
18,0.041428,99.9155
19,0.069012,99.8310
20,0.035023,99.9503
21,0.032023,99.9304
22,0.053690,99.8807
23,0.045863,99.9105
24,0.042588,99.9155
25,0.022224,99.9652
26,0.039774,99.9304
27,0.039672,99.9155
28,0.021560,99.9602
29,0.047648,99.8658
30,0.040765,99.9354
31,0.027141,99.9304
32,0.039940,99.9205
33,0.023535,99.9503
34,0.037642,99.9006
35,0.045434,99.8857
36,0.024721,99.9453
37,0.030388,99.9254
38,0.023473,99.9702
39,0.013959,99.9851
40,0.047543,99.8757
41,0.042917,99.9006
42,0.026136,99.9602
43,0.025057,99.9453
44,0.016624,99.9702
45,0.030558,99.9254
46,0.026387,99.9354
47,0.012182,99.9801
48,0.031671,99.9254
49,0.027249,99.9354
50,0.020119,99.9553
