epoch,section,n,neg_cos,maha_embed
1,ToyCar/id_01,614,0.7557,0.8545
1,ToyCar/id_02,615,0.9402,0.9030
1,ToyCar/id_03,615,0.9313,0.7398
1,ToyCar/id_04,615,0.9996,0.9259
1,ToyConveyor/id_01,1200,0.7578,0.7011
1,ToyConveyor/id_02,1155,0.5144,0.5680
1,ToyConveyor/id_03,1154,0.6956,0.6862
2,ToyCar/id_01,614,0.8405,0.8745
2,ToyCar/id_02,615,0.8603,0.9204
2,ToyCar/id_03,615,0.9561,0.8099
2,ToyCar/id_04,615,1.0000,0.9685
2,ToyConveyor/id_01,1200,0.7425,0.7106
2,ToyConveyor/id_02,1155,0.5204,0.5647
2,ToyConveyor/id_03,1154,0.6716,0.6732
3,ToyCar/id_01,614,0.8058,0.8515
3,ToyCar/id_02,615,0.9216,0.9150
3,ToyCar/id_03,615,0.9814,0.8059
3,ToyCar/id_04,615,0.9998,0.9577
3,ToyConveyor/id_01,1200,0.7937,0.7194
3,ToyConveyor/id_02,1155,0.5084,0.5821
3,ToyConveyor/id_03,1154,0.6694,0.6636
4,ToyCar/id_01,614,0.8258,0.8807
4,ToyCar/id_02,615,0.8513,0.9266
4,ToyCar/id_03,615,0.9695,0.8516
4,ToyCar/id_04,615,0.9992,0.9718
4,ToyConveyor/id_01,1200,0.8111,0.7271
4,ToyConveyor/id_02,1155,0.5093,0.5712
4,ToyConveyor/id_03,1154,0.7067,0.7110
5,ToyCar/id_01,614,0.8341,0.8741
5,ToyCar/id_02,615,0.9021,0.9087
5,ToyCar/id_03,615,0.9765,0.8505
5,ToyCar/id_04,615,0.9999,0.9617
5,ToyConveyor/id_01,1200,0.7847,0.7371
5,ToyConveyor/id_02,1155,0.5154,0.5706
5,ToyConveyor/id_03,1154,0.5631,0.7060
6,ToyCar/id_01,614,0.8369,0.8744
6,ToyCar/id_02,615,0.8809,0.9221
6,ToyCar/id_03,615,0.9745,0.8399
6,ToyCar/id_04,615,0.9998,0.9464
6,ToyConveyor/id_01,1200,0.7120,0.7130
6,ToyConveyor/id_02,1155,0.5192,0.5710
6,ToyConveyor/id_03,1154,0.4978,0.6898
7,ToyCar/id_01,614,0.8174,0.8672
7,ToyCar/id_02,615,0.9105,0.9119
7,ToyCar/id_03,615,0.9333,0.8001
7,ToyCar/id_04,615,1.0000,0.9338
7,ToyConveyor/id_01,1200,0.7684,0.7258
7,ToyConveyor/id_02,1155,0.5691,0.5712
7,ToyConveyor/id_03,1154,0.6397,0.7068
8,ToyCar/id_01,614,0.8330,0.8602
8,ToyCar/id_02,615,0.9073,0.9209
8,ToyCar/id_03,615,0.9909,0.8067
8,ToyCar/id_04,615,0.9999,0.9568
8,ToyConveyor/id_01,1200,0.8442,0.7351
8,ToyConveyor/id_02,1155,0.5713,0.5582
8,ToyConveyor/id_03,1154,0.6188,0.6673
9,ToyCar/id_01,614,0.8453,0.8643
