epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.8094,0.8238,0.8726,0.8938,0.8966,0.6599,0.8260
1,logit_nll,0.7611,0.7827,0.8068,0.8705,0.8577,0.5558,0.7724
1,maha_embed,0.6326,0.7760,0.9050,0.8146,0.8600,0.6453,0.7723
2,neg_cos,0.7558,0.8527,0.8819,0.9158,0.8822,0.6456,0.8224
2,logit_nll,0.7293,0.7898,0.7882,0.8261,0.8488,0.5395,0.7536
2,maha_embed,0.6349,0.7585,0.8983,0.8151,0.8982,0.6458,0.7751
3,neg_cos,0.8426,0.8967,0.8378,0.9311,0.9156,0.6600,0.8473
3,logit_nll,0.7739,0.7821,0.7801,0.8448,0.8503,0.5548,0.7643
3,maha_embed,0.6816,0.7785,0.9153,0.8468,0.8873,0.6531,0.7938
4,neg_cos,0.8204,0.8905,0.8594,0.9313,0.8975,0.6693,0.8447
4,logit_nll,0.7852,0.8128,0.7789,0.7988,0.8035,0.5280,0.7512
4,maha_embed,0.6896,0.7641,0.9054,0.8475,0.9101,0.6642,0.7968
5,neg_cos,0.7815,0.8990,0.9077,0.9339,0.9259,0.6143,0.8437
5,logit_nll,0.7386,0.7911,0.7878,0.8196,0.8333,0.5552,0.7543
5,maha_embed,0.6951,0.7859,0.9140,0.8293,0.9016,0.6665,0.7987
6,neg_cos,0.8398,0.8644,0.8527,0.9464,0.9294,0.5798,0.8354
6,logit_nll,0.7205,0.7678,0.7849,0.8527,0.8221,0.5188,0.7445
6,maha_embed,0.7084,0.8052,0.9191,0.8150,0.8969,0.6533,0.7997
7,neg_cos,0.8174,0.8939,0.8347,0.9478,0.8872,0.6576,0.8398
7,logit_nll,0.7279,0.7849,0.7919,0.8644,0.8614,0.5375,0.7613
7,maha_embed,0.7039,0.7898,0.9073,0.8173,0.8807,0.6671,0.7943
8,neg_cos,0.8317,0.8715,0.8459,0.9573,0.9389,0.6894,0.8558
8,logit_nll,0.7452,0.7844,0.7670,0.8733,0.8393,0.5405,0.7583
8,maha_embed,0.7205,0.8016,0.9306,0.8644,0.8899,0.6541,0.8102
9,neg_cos,0.7795,0.8903,0.8567,0.9248,0.9173,0.6763,0.8408
9,logit_nll,0.7027,0.7789,0.7663,0.7928,0.8271,0.5416,0.7349
9,maha_embed,0.7031,0.8005,0.9197,0.8391,0.8889,0.6675,0.8031
10,neg_cos,0.8385,0.8714,0.8758,0.9383,0.8970,0.6475,0.8447
10,logit_nll,0.7257,0.7644,0.7752,0.7956,0.8249,0.5328,0.7364
10,maha_embed,0.6980,0.7853,0.9019,0.8194,0.8780,0.6498,0.7887
11,neg_cos,0.8128,0.8540,0.8871,0.9328,0.9412,0.6513,0.8465
11,logit_nll,0.7558,0.7641,0.7741,0.8204,0.8570,0.5362,0.7513
11,maha_embed,0.7338,0.8098,0.9292,0.8112,0.8749,0.6733,0.8054
12,neg_cos,0.8122,0.9055,0.8345,0.9595,0.8728,0.6176,0.8337
12,logit_nll,0.7066,0.7868,0.7759,0.8048,0.7921,0.5297,0.7327
12,maha_embed,0.7344,0.8078,0.9253,0.8216,0.8877,0.6623,0.8065
13,neg_cos,0.7728,0.8896,0.8833,0.9143,0.9425,0.5941,0.8328
13,logit_nll,0.7054,0.8015,0.7716,0.8032,0.8390,0.5349,0.7426
13,maha_embed,0.7291,0.7920,0.9264,0.8183,0.9202,0.6640,0.8083
14,neg_cos,0.8307,0.9104,0.8512,0.9697,0.8252,0.5780,0.8275
14,logit_nll,0.7207,0.8354,0.7704,0.8475,0.7809,0.5208,0.7459
14,maha_embed,0.7435,0.8237,0.9102,0.7983,0.8623,0.6668,0.8008
15,neg_cos,0.7888,0.9016,0.8808,0.9034,0.8837,0.6245,0.8305
15,logit_nll,0.7204,0.7907,0.7753,0.7862,0.8399,0.5296,0.7403
15,maha_embed,0.7322,0.8276,0.9187,0.8104,0.8839,0.6659,0.8064
16,neg_cos,0.7904,0.9180,0.8644,0.9352,0.9332,0.6403,0.8469
16,logit_nll,0.7011,0.7729,0.7654,0.8179,0.8533,0.5318,0.7404
16,maha_embed,0.7533,0.8192,0.9073,0.8288,0.8774,0.6553,0.8069
17,neg_cos,0.8043,0.8954,0.8209,0.9441,0.8818,0.6449,0.8319
17,logit_nll,0.7080,0.8026,0.7629,0.8127,0.8293,0.5333,0.7415
17,maha_embed,0.7252,0.8347,0.9118,0.8448,0.8772,0.6509,0.8074
18,neg_cos,0.7415,0.8802,0.8502,0.9085,0.8779,0.5981,0.8094
