epoch,train_loss,train_acc
1,3.791899,66.5093
2,0.422842,94.7214
3,0.224266,96.8637
4,0.153347,97.9422
5,0.125718,98.0715
6,0.071183,98.9711
7,0.083672,98.8469
8,0.089181,98.7375
9,0.076868,98.9115
10,0.048797,99.1749
11,0.086204,98.7972
12,0.061479,99.1302
13,0.050405,99.1600
14,0.047476,99.1898
15,0.052916,99.3041
16,0.080023,99.0606
17,0.047738,99.2942
18,0.063685,99.2544
19,0.041014,99.3737
20,0.080081,98.9811
21,0.035244,99.5278
22,0.034223,99.5079
23,0.036160,99.4980
24,0.039114,99.4731
25,0.044741,99.3588
26,0.037958,99.5228
27,0.035045,99.5775
28,0.022178,99.6670
29,0.074761,99.1799
30,0.045798,99.4483
31,0.020887,99.6720
32,0.014307,99.7366
33,0.015775,99.7564
34,0.020255,99.7465
35,0.041839,99.3886
36,0.052144,99.3340
37,0.030214,99.5378
38,0.032909,99.5228
39,0.031569,99.6272
40,0.021694,99.6769
41,0.008951,99.8708
42,0.031309,99.6123
43,0.035373,99.5079
44,0.029865,99.6968
45,0.029042,99.5974
46,0.020872,99.6968
47,0.027037,99.6769
48,0.010090,99.7863
49,0.016169,99.8459
50,0.038429,99.5527
