epoch,train_loss,train_acc,skipped
1,5.145104,59.9582,0
2,1.431074,87.5541,0
3,0.861101,92.6239,0
4,0.737205,93.5832,0
5,0.605838,94.5723,0
6,0.489040,95.7403,0
7,0.489582,95.8596,0
8,0.497859,95.4123,0
9,0.432794,96.1131,0
10,0.305949,97.4303,0
11,0.361677,96.5605,0
12,0.389591,96.6847,0
13,0.347052,96.8189,0
14,0.302276,97.2961,0
15,0.302068,97.2563,0
16,0.276264,97.4551,0
17,0.234936,97.8876,0
18,0.280559,97.4502,0
19,0.298518,97.3110,0
20,0.182016,98.3349,0
21,0.197843,98.1261,0
22,0.228739,97.9273,0
23,0.285996,97.4850,0
24,0.192924,98.1808,0
25,0.159431,98.5486,0
26,0.237685,97.9572,0
27,0.198043,98.2106,0
28,0.216845,98.0168,0
29,0.179368,98.1808,0
30,0.148790,98.5586,0
31,0.152925,98.4741,0
32,0.158990,98.6381,0
33,0.269967,97.5396,0
34,0.179395,98.1808,0
35,0.150216,98.4095,0
36,0.134306,98.7773,0
37,0.121280,98.9711,0
38,0.145249,98.6331,0
39,0.161680,98.4741,0
40,0.111740,98.9314,0
41,0.137225,98.4691,0
42,0.182724,98.2355,0
43,0.158528,98.6729,0
44,0.150986,98.5039,0
45,0.117803,98.8817,0
46,0.113735,98.8717,0
47,0.137719,98.7375,0
48,0.117327,98.7475,0
49,0.109518,98.8717,0
50,0.136949,98.7077,0
