epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.7283,0.8541,0.9202,0.8198,0.7867,0.5248,0.7723
1,logit_nll,0.7594,0.7702,0.8961,0.7966,0.7632,0.5141,0.7499
1,maha_embed,0.7208,0.8305,0.8783,0.7967,0.7902,0.6215,0.7730
2,neg_cos,0.7314,0.7936,0.9102,0.8533,0.7736,0.5599,0.7703
2,logit_nll,0.7244,0.7934,0.8759,0.7652,0.7907,0.5223,0.7453
2,maha_embed,0.7088,0.8313,0.9382,0.8628,0.8633,0.6353,0.8066
3,neg_cos,0.7055,0.7951,0.8138,0.8317,0.7584,0.5525,0.7428
3,logit_nll,0.7578,0.7367,0.7869,0.7544,0.7886,0.5270,0.7252
3,maha_embed,0.7436,0.8354,0.9199,0.9131,0.8568,0.6488,0.8196
4,neg_cos,0.7150,0.8041,0.9279,0.8341,0.7248,0.5985,0.7674
4,logit_nll,0.7473,0.7534,0.9233,0.7644,0.7831,0.5331,0.7508
4,maha_embed,0.6965,0.8612,0.9244,0.8969,0.8520,0.6714,0.8171
5,neg_cos,0.7082,0.8508,0.8881,0.6927,0.7255,0.6022,0.7446
5,logit_nll,0.7679,0.7662,0.8415,0.6968,0.7636,0.5219,0.7263
5,maha_embed,0.7713,0.8171,0.9209,0.8729,0.8277,0.6282,0.8063
6,neg_cos,0.6749,0.8444,0.9194,0.8643,0.8311,0.4827,0.7695
6,logit_nll,0.7044,0.7300,0.8970,0.7989,0.8115,0.4875,0.7382
6,maha_embed,0.7529,0.8424,0.9316,0.8894,0.8592,0.6348,0.8184
7,neg_cos,0.7874,0.8169,0.9014,0.8108,0.7644,0.5538,0.7725
7,logit_nll,0.7139,0.7278,0.8443,0.7553,0.8054,0.5147,0.7269
7,maha_embed,0.7925,0.8454,0.9260,0.8648,0.8556,0.6381,0.8204
8,neg_cos,0.7236,0.7798,0.8565,0.8594,0.8048,0.5358,0.7600
8,logit_nll,0.7270,0.7341,0.8361,0.7794,0.8069,0.5227,0.7344
8,maha_embed,0.7557,0.8523,0.8984,0.9121,0.8340,0.6363,0.8148
9,neg_cos,0.7357,0.8818,0.9105,0.8339,0.7727,0.5066,0.7735
9,logit_nll,0.7039,0.7471,0.8708,0.7081,0.8165,0.5287,0.7292
9,maha_embed,0.7662,0.8498,0.9286,0.8614,0.8320,0.6315,0.8116
10,neg_cos,0.7752,0.8435,0.8941,0.7448,0.7986,0.5433,0.7666
10,logit_nll,0.6996,0.7710,0.7849,0.7394,0.7814,0.5259,0.7170
10,maha_embed,0.7512,0.8683,0.9124,0.8747,0.8158,0.6458,0.8114
11,neg_cos,0.7734,0.8271,0.8925,0.8718,0.7903,0.5565,0.7853
11,logit_nll,0.7308,0.8024,0.8566,0.7901,0.8093,0.5180,0.7512
11,maha_embed,0.7856,0.8429,0.8957,0.9285,0.8396,0.6743,0.8278
12,neg_cos,0.7156,0.8006,0.9114,0.7126,0.8282,0.6014,0.7616
12,logit_nll,0.7118,0.7685,0.8391,0.7151,0.8025,0.5290,0.7277
12,maha_embed,0.7575,0.8472,0.9438,0.8970,0.8268,0.6616,0.8223
13,neg_cos,0.7148,0.8316,0.9089,0.8504,0.8347,0.5393,0.7800
13,logit_nll,0.7006,0.7657,0.8792,0.7662,0.8048,0.5102,0.7378
13,maha_embed,0.7830,0.8681,0.9280,0.8841,0.8367,0.6753,0.8292
14,neg_cos,0.7172,0.7942,0.9055,0.8887,0.8328,0.5671,0.7842
14,logit_nll,0.7261,0.7511,0.8254,0.7836,0.8177,0.5214,0.7375
14,maha_embed,0.7694,0.8276,0.9207,0.9159,0.8587,0.6509,0.8238
15,neg_cos,0.7834,0.7867,0.8774,0.8711,0.8511,0.5336,0.7839
