epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,recon_spmax,0.2716,0.6625,0.5162,0.4328,0.6351,0.4760,0.4991
1,recon_spmean,0.2599,0.5820,0.5724,0.4071,0.6067,0.4783,0.4844
1,neg_cos,0.8128,0.7814,0.9021,0.8877,0.8465,0.5994,0.8050
1,logit_nll,0.8149,0.7601,0.8468,0.8057,0.7718,0.5319,0.7552
1,fusion_negcos,0.5559,0.7544,0.7508,0.7261,0.7777,0.5469,0.6853
1,maha_embed,0.7120,0.8313,0.9043,0.8843,0.7696,0.6481,0.7916
1,fusion_maha,0.4527,0.7092,0.6901,0.6731,0.7587,0.5906,0.6457
2,recon_spmax,0.3806,0.7536,0.5215,0.4605,0.6167,0.4798,0.5354
2,recon_spmean,0.3226,0.7071,0.5942,0.3918,0.5875,0.4914,0.5158
2,neg_cos,0.6356,0.8543,0.8717,0.7934,0.8243,0.5597,0.7565
2,logit_nll,0.6641,0.7906,0.8162,0.7705,0.7835,0.5248,0.7250
2,fusion_negcos,0.4876,0.8268,0.7695,0.6465,0.7556,0.5624,0.6747
2,maha_embed,0.6506,0.8302,0.9148,0.8848,0.8063,0.6636,0.7917
2,fusion_maha,0.4716,0.7952,0.7071,0.6687,0.7266,0.6007,0.6616
3,recon_spmax,0.3140,0.7017,0.5297,0.5835,0.5408,0.4971,0.5278
3,recon_spmean,0.3136,0.5579,0.6075,0.4591,0.5157,0.5003,0.4923
3,neg_cos,0.7292,0.7999,0.8879,0.7788,0.8355,0.6400,0.7786
3,logit_nll,0.7228,0.7451,0.8092,0.7631,0.8291,0.5465,0.7360
3,fusion_negcos,0.4927,0.7800,0.7879,0.7391,0.7382,0.5856,0.6872
3,maha_embed,0.8011,0.8247,0.9058,0.9134,0.8137,0.6625,0.8202
3,fusion_maha,0.5112,0.7350,0.7506,0.7120,0.6839,0.5967,0.6649
4,recon_spmax,0.2697,0.6335,0.5355,0.4352,0.5410,0.4572,0.4787
4,recon_spmean,0.2608,0.5273,0.6145,0.3830,0.5440,0.4810,0.4684
4,neg_cos,0.8142,0.7240,0.8582,0.7747,0.7533,0.5697,0.7490
4,logit_nll,0.7886,0.7661,0.8401,0.7732,0.7957,0.5564,0.7534
4,fusion_negcos,0.5327,0.7274,0.8253,0.6846,0.7477,0.5653,0.6805
4,maha_embed,0.8145,0.8551,0.9322,0.8332,0.8049,0.6658,0.8176
4,fusion_maha,0.5430,0.7092,0.7875,0.6123,0.7070,0.6032,0.6604
5,recon_spmax,0.3177,0.6321,0.6018,0.5854,0.6303,0.4957,0.5438
5,recon_spmean,0.2815,0.5410,0.6234,0.4427,0.6281,0.5134,0.5050
5,neg_cos,0.7004,0.7868,0.9191,0.7701,0.8194,0.5646,0.7601
5,logit_nll,0.7176,0.7600,0.8666,0.7922,0.8209,0.5340,0.7485
5,fusion_negcos,0.5030,0.7417,0.8361,0.6761,0.8352,0.5508,0.6905
5,maha_embed,0.8037,0.8044,0.9114,0.9070,0.8137,0.6586,0.8165
5,fusion_maha,0.5411,0.6898,0.7532,0.6933,0.7974,0.6116,0.6810
6,recon_spmax,0.3344,0.6928,0.6909,0.5988,0.7189,0.5132,0.5915
6,recon_spmean,0.2916,0.5569,0.6775,0.4473,0.6866,0.5325,0.5321
6,neg_cos,0.7679,0.7607,0.8022,0.7601,0.8644,0.6088,0.7607
6,logit_nll,0.7648,0.7412,0.8390,0.6733,0.7884,0.5406,0.7245
6,fusion_negcos,0.5112,0.7313,0.8766,0.6337,0.8224,0.5879,0.6938
6,maha_embed,0.8114,0.8399,0.8907,0.8862,0.8160,0.6834,0.8212
6,fusion_maha,0.5182,0.7192,0.8078,0.7158,0.8247,0.6224,0.7014
7,recon_spmax,0.3131,0.6217,0.5241,0.4773,0.6448,0.5024,0.5139
7,recon_spmean,0.3094,0.5166,0.6292,0.4104,0.6459,0.5171,0.5048
7,neg_cos,0.7551,0.7400,0.9419,0.8000,0.8937,0.5331,0.7773
7,logit_nll,0.7004,0.7707,0.9076,0.7381,0.8141,0.5102,0.7402
7,fusion_negcos,0.5102,0.7406,0.8629,0.6958,0.8617,0.5414,0.7021
7,maha_embed,0.7820,0.8511,0.9496,0.9222,0.8645,0.6427,0.8354
7,fusion_maha,0.5103,0.7161,0.7964,0.7122,0.8400,0.5891,0.6940
8,recon_spmax,0.3359,0.6525,0.7668,0.6189,0.5969,0.4991,0.5784
8,recon_spmean,0.2998,0.5694,0.6895,0.4939,0.5843,0.5157,0.5255
8,neg_cos,0.7886,0.7985,0.8082,0.7791,0.7724,0.6212,0.7613
8,logit_nll,0.7159,0.7858,0.8442,0.6874,0.7643,0.5745,0.7287
8,fusion_negcos,0.5278,0.7707,0.8779,0.6946,0.7412,0.5978,0.7017
8,maha_embed,0.7396,0.8638,0.9338,0.9273,0.8436,0.6593,0.8279
8,fusion_maha,0.4816,0.7484,0.8034,0.7576,0.7348,0.6074,0.6889
9,recon_spmax,0.3646,0.6935,0.5513,0.3483,0.6071,0.4843,0.5082
9,recon_spmean,0.3485,0.5579,0.6177,0.3510,0.5560,0.5231,0.4924
9,neg_cos,0.7627,0.8094,0.8177,0.8049,0.7922,0.5461,0.7555
9,logit_nll,0.7293,0.7489,0.8698,0.8104,0.7849,0.5237,0.7445
9,fusion_negcos,0.5508,0.7897,0.8350,0.6194,0.7496,0.5589,0.6839
9,maha_embed,0.7744,0.8677,0.9366,0.8766,0.8079,0.6431,0.8177
9,fusion_maha,0.5341,0.7682,0.7652,0.6411,0.7074,0.5986,0.6691
10,recon_spmax,0.3208,0.5789,0.6014,0.4866,0.5415,0.5286,0.5096
10,recon_spmean,0.3464,0.4835,0.6348,0.4194,0.5424,0.5469,0.4956
10,neg_cos,0.7170,0.8438,0.8778,0.7774,0.7609,0.5296,0.7511
10,logit_nll,0.7263,0.7549,0.8200,0.7319,0.8019,0.5231,0.7263
10,fusion_negcos,0.5660,0.7149,0.8426,0.6507,0.7433,0.5614,0.6798
10,maha_embed,0.7999,0.8578,0.9284,0.9084,0.8693,0.6750,0.8398
10,fusion_maha,0.5416,0.6794,0.7430,0.7013,0.7657,0.6297,0.6768
11,recon_spmax,0.3208,0.6284,0.5427,0.4942,0.5943,0.4698,0.5084
11,recon_spmean,0.3338,0.5323,0.6234,0.4172,0.5912,0.5154,0.5022
11,neg_cos,0.7485,0.7722,0.9154,0.8521,0.7374,0.5236,0.7582
11,logit_nll,0.7077,0.7633,0.8474,0.7308,0.7879,0.5194,0.7261
11,fusion_negcos,0.5447,0.7496,0.8215,0.6460,0.7895,0.5447,0.6827
11,maha_embed,0.8216,0.8339,0.9344,0.9319,0.8522,0.6886,0.8438
11,fusion_maha,0.5671,0.7330,0.7817,0.7052,0.7987,0.6074,0.6989
12,recon_spmax,0.4010,0.6653,0.6283,0.4888,0.6189,0.4993,0.5503
12,recon_spmean,0.4144,0.5340,0.6629,0.4062,0.6017,0.5390,0.5264
12,neg_cos,0.6810,0.8197,0.8690,0.8518,0.7235,0.5557,0.7501
12,logit_nll,0.7204,0.7955,0.8726,0.7851,0.7473,0.5381,0.7432
12,fusion_negcos,0.6219,0.7520,0.8743,0.6963,0.7299,0.5861,0.7101
12,maha_embed,0.7788,0.8432,0.9258,0.9297,0.8630,0.6690,0.8349
12,fusion_maha,0.5881,0.7180,0.8099,0.7117,0.7931,0.6224,0.7072
13,recon_spmax,0.3971,0.6982,0.5205,0.4430,0.6967,0.4826,0.5397
13,recon_spmean,0.3677,0.5225,0.6164,0.4073,0.6378,0.5356,0.5145
13,neg_cos,0.7494,0.8259,0.8638,0.8568,0.8089,0.5993,0.7840
13,logit_nll,0.6902,0.7688,0.8281,0.8054,0.8179,0.5323,0.7405
13,fusion_negcos,0.5593,0.7439,0.8249,0.6802,0.8250,0.6001,0.7056
13,maha_embed,0.7885,0.8602,0.9181,0.9010,0.8272,0.6937,0.8314
13,fusion_maha,0.5458,0.7047,0.8028,0.6404,0.8005,0.6379,0.6887
14,recon_spmax,0.4226,0.6269,0.5917,0.4556,0.6764,0.4827,0.5426
14,recon_spmean,0.4056,0.5138,0.6623,0.3842,0.6762,0.5309,0.5288
14,neg_cos,0.6999,0.7969,0.8735,0.8482,0.7729,0.5473,0.7565
14,logit_nll,0.6803,0.7629,0.8245,0.7950,0.7619,0.5560,0.7301
14,fusion_negcos,0.5756,0.7472,0.7943,0.6794,0.8409,0.5532,0.6984
14,maha_embed,0.7882,0.8572,0.9188,0.8546,0.8029,0.6925,0.8190
14,fusion_maha,0.5767,0.7357,0.7783,0.6335,0.8080,0.6293,0.6936
15,recon_spmax,0.2974,0.6779,0.5595,0.5004,0.6718,0.5043,0.5352
15,recon_spmean,0.3906,0.5287,0.6522,0.3910,0.6168,0.5327,0.5187
15,neg_cos,0.7002,0.8703,0.8930,0.8439,0.8270,0.5766,0.7851
15,logit_nll,0.7109,0.7901,0.8181,0.7554,0.7896,0.5185,0.7304
15,fusion_negcos,0.6040,0.7808,0.8333,0.6777,0.8153,0.5843,0.7159
15,maha_embed,0.7948,0.8742,0.9299,0.8901,0.8369,0.6869,0.8355
15,fusion_maha,0.5833,0.7328,0.7838,0.6765,0.7794,0.6157,0.6952
16,recon_spmax,0.3611,0.7135,0.5660,0.4625,0.6541,0.4851,0.5404
16,recon_spmean,0.3804,0.5355,0.6489,0.4114,0.6187,0.5150,0.5183
16,neg_cos,0.7600,0.8203,0.8026,0.7638,0.7670,0.5706,0.7474
16,logit_nll,0.7243,0.7801,0.8037,0.7422,0.7617,0.5279,0.7233
16,fusion_negcos,0.6088,0.7718,0.8407,0.6598,0.7612,0.5607,0.7005
16,maha_embed,0.7806,0.8679,0.8993,0.8954,0.8748,0.6701,0.8313
16,fusion_maha,0.5674,0.7282,0.7988,0.6765,0.8069,0.6101,0.6980
17,recon_spmax,0.3311,0.5700,0.6562,0.4741,0.6620,0.4918,0.5309
17,recon_spmean,0.3739,0.4977,0.6757,0.3868,0.6333,0.5329,0.5167
17,neg_cos,0.8063,0.8146,0.8766,0.8026,0.7746,0.5824,0.7762
17,logit_nll,0.7113,0.7622,0.8146,0.7533,0.7697,0.5212,0.7221
17,fusion_negcos,0.6160,0.7301,0.8382,0.6545,0.7963,0.5808,0.7026
17,maha_embed,0.8096,0.8673,0.9249,0.8786,0.8765,0.6703,0.8379
17,fusion_maha,0.6189,0.6949,0.8085,0.6395,0.8209,0.6179,0.7001
18,recon_spmax,0.3451,0.6008,0.6078,0.3482,0.6543,0.5192,0.5126
18,recon_spmean,0.3880,0.4848,0.6769,0.3413,0.6162,0.5496,0.5095
18,neg_cos,0.6798,0.7838,0.8430,0.9067,0.9118,0.5388,0.7773
18,logit_nll,0.7354,0.7670,0.8638,0.8712,0.8515,0.5294,0.7697
18,fusion_negcos,0.6024,0.7120,0.8477,0.6247,0.8293,0.5768,0.6988
18,maha_embed,0.8233,0.8683,0.9337,0.8833,0.8351,0.6422,0.8310
18,fusion_maha,0.6166,0.6996,0.8436,0.5999,0.8091,0.6133,0.6970
19,recon_spmax,0.3754,0.6694,0.6789,0.5349,0.6794,0.4946,0.5721
19,recon_spmean,0.3830,0.5229,0.6916,0.4265,0.6028,0.5404,0.5279
19,neg_cos,0.7237,0.8715,0.9214,0.7899,0.8760,0.5254,0.7847
19,logit_nll,0.6878,0.7634,0.8449,0.7315,0.8137,0.5163,0.7263
19,fusion_negcos,0.5757,0.7542,0.8627,0.6707,0.8090,0.5513,0.7039
19,maha_embed,0.7932,0.8701,0.9264,0.9030,0.8666,0.6532,0.8354
19,fusion_maha,0.5640,0.7410,0.7736,0.6829,0.7929,0.6129,0.6946
20,recon_spmax,0.3937,0.6683,0.5653,0.4321,0.6324,0.4603,0.5254
20,recon_spmean,0.3843,0.5507,0.6557,0.3892,0.6050,0.5166,0.5169
20,neg_cos,0.7747,0.7996,0.9134,0.8147,0.8537,0.6211,0.7962
20,logit_nll,0.7434,0.8006,0.9159,0.8008,0.8367,0.5568,0.7757
20,fusion_negcos,0.6110,0.7740,0.8688,0.6846,0.7876,0.5885,0.7191
20,maha_embed,0.8126,0.8742,0.9312,0.9095,0.8729,0.6691,0.8449
20,fusion_maha,0.5839,0.7359,0.8048,0.6700,0.7999,0.6164,0.7018
21,recon_spmax,0.4630,0.7439,0.6285,0.4739,0.7433,0.5156,0.5947
21,recon_spmean,0.4748,0.5944,0.6734,0.4283,0.6549,0.5472,0.5622
21,neg_cos,0.7872,0.7216,0.9101,0.7704,0.8149,0.5599,0.7607
21,logit_nll,0.7839,0.7362,0.8450,0.7391,0.8267,0.5171,0.7413
21,fusion_negcos,0.6846,0.7585,0.8703,0.6769,0.8156,0.5639,0.7283
21,maha_embed,0.8143,0.8697,0.9458,0.8803,0.8400,0.6425,0.8321
21,fusion_maha,0.6740,0.7961,0.8183,0.6774,0.8049,0.6027,0.7289
22,recon_spmax,0.3703,0.5549,0.5815,0.3874,0.7559,0.5158,0.5276
22,recon_spmean,0.4210,0.4984,0.6675,0.3530,0.6554,0.5546,0.5250
22,neg_cos,0.7991,0.8914,0.8756,0.8022,0.8444,0.4864,0.7832
