epoch,total,cos,ce,acc,skipped
1,5.381753,0.330161,5.051591,60.3559,0
2,1.354240,0.210826,1.143414,89.6317,0
3,0.972331,0.196219,0.776112,92.7432,0
4,0.878499,0.188902,0.689597,93.4887,0
5,0.759921,0.184768,0.575153,94.4779,0
6,0.633994,0.183985,0.450009,95.8447,0
7,0.526542,0.182698,0.343844,96.4958,0
8,0.522643,0.178697,0.343947,96.6599,0
9,0.520523,0.179208,0.341315,96.7295,0
10,0.607752,0.180662,0.427090,95.8497,0
11,0.424601,0.174478,0.250122,97.5645,0
12,0.474438,0.172556,0.301882,97.1072,0
13,0.457914,0.174111,0.283804,97.3160,0
14,0.432330,0.171611,0.260719,97.4551,0
15,0.409443,0.170398,0.239045,97.7186,0
16,0.385626,0.168688,0.216939,97.9969,0
17,0.435975,0.169439,0.266536,97.4701,0
18,0.339384,0.166524,0.172860,98.3101,0
19,0.423161,0.167351,0.255810,97.4601,0
20,0.385068,0.167212,0.217855,97.9124,0
21,0.339129,0.163143,0.175986,98.3796,0
22,0.371225,0.166245,0.204980,97.8428,0
23,0.283359,0.161198,0.122161,98.7922,0
24,0.357824,0.162841,0.194983,98.1361,0
25,0.291259,0.158505,0.132754,98.6530,0
26,0.364952,0.158530,0.206422,98.0764,0
27,0.275448,0.158700,0.116748,98.7375,0
28,0.328334,0.161749,0.166585,98.2355,0
29,0.350849,0.156646,0.194203,98.2405,0
30,0.316784,0.154936,0.161848,98.5635,0
31,0.288972,0.154082,0.134891,98.6381,0
32,0.239205,0.149126,0.090079,99.1550,0
33,0.333052,0.155043,0.178010,98.3399,0
34,0.257910,0.152113,0.105797,98.9413,0
35,0.306502,0.153508,0.152994,98.4095,0
36,0.283929,0.150639,0.133290,98.7226,0
37,0.270332,0.154666,0.115666,98.7226,0
38,0.284694,0.150039,0.134655,98.7027,0
39,0.262588,0.152365,0.110223,98.8170,0
40,0.269729,0.152949,0.116780,98.8469,0
41,0.305883,0.154187,0.151696,98.5089,0
42,0.259586,0.152810,0.106776,98.9662,0
43,0.283059,0.152626,0.130433,98.7475,0
44,0.277283,0.150236,0.127048,98.7475,0
45,0.243132,0.148814,0.094319,99.0109,0
46,0.283954,0.157643,0.126311,98.7872,0
47,0.258651,0.153382,0.105269,98.9115,0
48,0.309150,0.153118,0.156032,98.4492,0
49,0.233063,0.151118,0.081946,99.1600,0
50,0.242494,0.147540,0.094954,99.1401,0
