epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.6659,0.8470,0.8879,0.8777,0.7761,0.5706,0.7709
1,logit_nll,0.7220,0.7813,0.8340,0.8804,0.7851,0.5354,0.7563
1,maha_embed,0.7304,0.8430,0.9160,0.9109,0.7129,0.6709,0.7973
2,neg_cos,0.7033,0.8153,0.8830,0.9113,0.8642,0.6472,0.8040
2,logit_nll,0.7540,0.7518,0.8111,0.8927,0.8338,0.5801,0.7706
2,maha_embed,0.7298,0.8388,0.9531,0.9279,0.7521,0.6778,0.8132
3,neg_cos,0.7892,0.8450,0.8410,0.8391,0.8257,0.5815,0.7869
3,logit_nll,0.7722,0.7126,0.7896,0.8236,0.8020,0.5219,0.7370
3,maha_embed,0.7932,0.8498,0.9074,0.9628,0.7857,0.6914,0.8317
4,neg_cos,0.7509,0.8238,0.8839,0.7775,0.7488,0.6752,0.7767
4,logit_nll,0.7410,0.7636,0.8097,0.7711,0.8120,0.5267,0.7374
4,maha_embed,0.7582,0.8497,0.9087,0.8956,0.6205,0.6933,0.7877
5,neg_cos,0.7672,0.8063,0.9053,0.8241,0.7499,0.6206,0.7789
5,logit_nll,0.7544,0.7224,0.8281,0.7192,0.8150,0.5523,0.7319
5,maha_embed,0.7806,0.8574,0.9207,0.9359,0.8222,0.6656,0.8304
6,neg_cos,0.7743,0.7683,0.9380,0.7714,0.8053,0.5577,0.7692
6,logit_nll,0.7612,0.7821,0.8440,0.7088,0.8148,0.5227,0.7389
6,maha_embed,0.7956,0.8702,0.9418,0.9365,0.8168,0.6806,0.8403
7,neg_cos,0.7166,0.7408,0.8786,0.7632,0.8349,0.5521,0.7477
7,logit_nll,0.7581,0.7558,0.8086,0.7523,0.8349,0.5288,0.7398
7,maha_embed,0.8029,0.8485,0.9262,0.8931,0.7949,0.6904,0.8260
8,neg_cos,0.7172,0.7051,0.8784,0.7979,0.8931,0.6565,0.7747
8,logit_nll,0.7602,0.7387,0.8143,0.7411,0.8577,0.5531,0.7442
8,maha_embed,0.8117,0.8548,0.9467,0.9221,0.8219,0.7035,0.8435
9,neg_cos,0.7183,0.8793,0.9032,0.9299,0.8436,0.5656,0.8067
9,logit_nll,0.7172,0.7475,0.8482,0.8247,0.7799,0.5349,0.7421
9,maha_embed,0.7498,0.8684,0.9503,0.9349,0.8645,0.7289,0.8495
10,neg_cos,0.7078,0.8738,0.9550,0.8402,0.8110,0.5195,0.7846
10,logit_nll,0.7098,0.7330,0.8649,0.6502,0.8052,0.5233,0.7144
10,maha_embed,0.8206,0.8748,0.9502,0.8745,0.8007,0.7011,0.8370
