epoch,train_loss,train_acc,skipped
1,6.145675,53.5365,0
2,1.445499,87.8821,0
3,0.797861,93.4341,0
4,0.607343,94.6220,0
5,0.552897,95.1439,0
6,0.447336,95.7801,0
7,0.460230,95.9342,0
8,0.446363,96.2076,0
9,0.303105,97.3508,0
10,0.370439,96.7344,0
11,0.295010,97.3508,0
12,0.343872,96.7643,0
13,0.280612,97.3209,0
14,0.378364,96.2772,0
15,0.249639,97.6888,0
16,0.230941,97.7882,0
17,0.287652,97.3408,0
18,0.199724,97.8677,0
19,0.207131,98.0267,0
20,0.184995,98.3349,0
21,0.174228,98.2156,0
22,0.219180,97.8776,0
23,0.253473,97.7037,0
24,0.212899,98.0267,0
25,0.136736,98.6878,0
26,0.135222,98.5586,0
27,0.122573,98.7226,0
28,0.090356,99.0308,0
29,0.177158,98.2256,0
30,0.144461,98.6431,0
31,0.180862,98.5138,0
32,0.076309,99.1600,0
33,0.119430,98.5785,0
34,0.088549,98.9761,0
35,0.112694,98.9065,0
36,0.181129,98.3448,0
37,0.115390,98.8121,0
38,0.060424,99.3588,0
39,0.066142,99.3141,0
40,0.147717,98.4393,0
41,0.099635,99.0755,0
42,0.078636,99.1600,0
43,0.115718,98.9761,0
44,0.159172,98.4890,0
45,0.112856,99.0407,0
46,0.069403,99.3290,0
47,0.132604,98.7723,0
48,0.076008,99.1600,0
49,0.072235,99.2644,0
50,0.053916,99.4035,0
