epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.6673,0.8544,0.7702,0.9489,0.8177,0.5726,0.7719
1,logit_nll,0.7443,0.8357,0.7382,0.8635,0.7981,0.5345,0.7524
1,maha_embed,0.7287,0.8047,0.9066,0.8795,0.7797,0.6386,0.7896
2,neg_cos,0.7887,0.7817,0.8993,0.8981,0.7406,0.5756,0.7807
2,logit_nll,0.7716,0.7612,0.7955,0.8390,0.8030,0.5318,0.7503
2,maha_embed,0.8109,0.8613,0.8945,0.9258,0.8308,0.6638,0.8312
3,neg_cos,0.6887,0.8714,0.8452,0.7862,0.6709,0.6159,0.7464
3,logit_nll,0.7297,0.7598,0.7949,0.7500,0.7332,0.5381,0.7176
3,maha_embed,0.7390,0.8864,0.8728,0.8888,0.8159,0.6886,0.8152
4,neg_cos,0.7363,0.8763,0.8566,0.9270,0.8894,0.5420,0.8046
4,logit_nll,0.7323,0.7815,0.7727,0.7926,0.8715,0.5186,0.7449
4,maha_embed,0.7886,0.8940,0.9173,0.9154,0.7767,0.6774,0.8282
5,neg_cos,0.7334,0.8783,0.8970,0.9184,0.7660,0.6150,0.8014
5,logit_nll,0.7146,0.7652,0.7971,0.7556,0.8492,0.5203,0.7336
5,maha_embed,0.7599,0.9088,0.9169,0.9294,0.8523,0.6867,0.8423
6,neg_cos,0.7037,0.8738,0.8736,0.8496,0.8353,0.5975,0.7889
6,logit_nll,0.6860,0.8045,0.8026,0.8165,0.8284,0.5291,0.7445
6,maha_embed,0.7985,0.9238,0.9260,0.9334,0.8440,0.6771,0.8504
7,neg_cos,0.7625,0.8998,0.8585,0.8751,0.8174,0.6671,0.8134
7,logit_nll,0.6602,0.8033,0.7997,0.7797,0.8139,0.5834,0.7401
7,maha_embed,0.7534,0.8926,0.9230,0.9177,0.8205,0.6806,0.8313
8,neg_cos,0.7207,0.8671,0.8722,0.8779,0.8336,0.5320,0.7839
8,logit_nll,0.7060,0.7988,0.7829,0.7603,0.8181,0.5262,0.7321
8,maha_embed,0.7798,0.8860,0.9291,0.9245,0.7345,0.6667,0.8201
9,neg_cos,0.6944,0.8211,0.9153,0.8514,0.9088,0.5427,0.7890
9,logit_nll,0.7159,0.7807,0.7869,0.7687,0.8547,0.5401,0.7412
9,maha_embed,0.8102,0.9232,0.9234,0.9408,0.7292,0.7040,0.8385
10,neg_cos,0.7238,0.8851,0.8044,0.9583,0.9401,0.5960,0.8180
10,logit_nll,0.6967,0.7963,0.7463,0.9253,0.9136,0.5552,0.7722
10,maha_embed,0.6780,0.8830,0.8655,0.9829,0.8410,0.6671,0.8196
11,neg_cos,0.7676,0.8572,0.8916,0.8356,0.7596,0.6439,0.7926
11,logit_nll,0.7044,0.7706,0.7708,0.7161,0.7807,0.5537,0.7161
11,maha_embed,0.7970,0.9292,0.9126,0.9262,0.8242,0.6693,0.8431
12,neg_cos,0.7526,0.8883,0.8252,0.7843,0.7828,0.6622,0.7826
12,logit_nll,0.7164,0.7541,0.7587,0.7341,0.7969,0.5647,0.7208
12,maha_embed,0.7475,0.9039,0.9192,0.8984,0.8395,0.6527,0.8269
13,neg_cos,0.7980,0.8022,0.8491,0.8584,0.8554,0.6133,0.7961
13,logit_nll,0.7798,0.7743,0.7815,0.7814,0.8399,0.5305,0.7479
13,maha_embed,0.7779,0.8970,0.9378,0.9115,0.8187,0.7053,0.8414
14,neg_cos,0.7484,0.8497,0.8356,0.7552,0.8601,0.6312,0.7800
14,logit_nll,0.7460,0.7762,0.7646,0.7109,0.8019,0.5372,0.7228
14,maha_embed,0.7700,0.8702,0.9377,0.9503,0.8684,0.6969,0.8489
15,neg_cos,0.7257,0.8541,0.7987,0.8777,0.8249,0.5643,0.7742
15,logit_nll,0.6826,0.7482,0.7745,0.7660,0.8069,0.5316,0.7183
15,maha_embed,0.7811,0.8728,0.9441,0.9422,0.8439,0.6407,0.8375
16,neg_cos,0.7951,0.7883,0.8584,0.7894,0.8726,0.5307,0.7724
16,logit_nll,0.7330,0.6986,0.8520,0.7332,0.8501,0.5185,0.7309
16,maha_embed,0.7601,0.8652,0.9349,0.9190,0.8694,0.6613,0.8350
17,neg_cos,0.7078,0.8278,0.8052,0.8444,0.8184,0.5833,0.7645
17,logit_nll,0.7121,0.7852,0.7559,0.7017,0.8158,0.5388,0.7183
17,maha_embed,0.7788,0.8720,0.9313,0.9219,0.8242,0.7123,0.8401
18,neg_cos,0.8121,0.7632,0.7716,0.8070,0.8318,0.5971,0.7638
18,logit_nll,0.7257,0.7571,0.7376,0.7817,0.8248,0.5153,0.7237
18,maha_embed,0.8196,0.8672,0.9059,0.9346,0.8053,0.7053,0.8397
19,neg_cos,0.8289,0.8538,0.8013,0.8005,0.8372,0.5034,0.7709
19,logit_nll,0.7426,0.7492,0.7327,0.7152,0.8071,0.5230,0.7116
19,maha_embed,0.8012,0.9086,0.9037,0.9525,0.7961,0.6614,0.8372
20,neg_cos,0.7060,0.8570,0.7760,0.8174,0.8325,0.6019,0.7651
20,logit_nll,0.7099,0.7608,0.7588,0.7036,0.8146,0.5163,0.7107
20,maha_embed,0.8272,0.8820,0.9022,0.8837,0.8160,0.6402,0.8252
21,neg_cos,0.7507,0.8998,0.8879,0.8693,0.8294,0.6297,0.8111
21,logit_nll,0.6989,0.7717,0.7386,0.7114,0.8263,0.5418,0.7148
21,maha_embed,0.8081,0.9082,0.9413,0.9139,0.8002,0.6690,0.8401
22,neg_cos,0.8290,0.7702,0.8001,0.8314,0.8848,0.5682,0.7806
22,logit_nll,0.7134,0.7398,0.7703,0.7192,0.8222,0.5311,0.7160
22,maha_embed,0.7938,0.8399,0.9628,0.8771,0.8488,0.7218,0.8407
23,neg_cos,0.7048,0.7495,0.8234,0.7447,0.7754,0.5091,0.7178
23,logit_nll,0.7242,0.7305,0.7664,0.6472,0.7856,0.5304,0.6974
23,maha_embed,0.7887,0.8716,0.9366,0.9157,0.8059,0.6899,0.8347
24,neg_cos,0.7532,0.8302,0.9129,0.6455,0.8584,0.5995,0.7666
24,logit_nll,0.6956,0.7742,0.8536,0.7046,0.7927,0.5377,0.7264
24,maha_embed,0.8398,0.8632,0.9426,0.8590,0.8256,0.6749,0.8342
25,neg_cos,0.7637,0.8127,0.7572,0.8248,0.9382,0.5465,0.7739
25,logit_nll,0.6899,0.7586,0.7047,0.6994,0.8500,0.5221,0.7041
25,maha_embed,0.8253,0.8929,0.9267,0.9159,0.8120,0.6978,0.8451
26,neg_cos,0.7306,0.8441,0.8162,0.8735,0.8319,0.5807,0.7795
26,logit_nll,0.6754,0.7626,0.7245,0.7265,0.8188,0.5149,0.7038
26,maha_embed,0.8040,0.8751,0.9314,0.8733,0.8034,0.6716,0.8265
27,neg_cos,0.7960,0.7488,0.8509,0.8220,0.8592,0.6058,0.7804
27,logit_nll,0.7253,0.7677,0.8499,0.6795,0.8153,0.5147,0.7254
27,maha_embed,0.8048,0.8375,0.9385,0.9372,0.7657,0.6643,0.8247
28,neg_cos,0.8343,0.8124,0.8899,0.7995,0.8964,0.5470,0.7966
28,logit_nll,0.7313,0.7833,0.7835,0.7403,0.8230,0.5261,0.7313
28,maha_embed,0.7826,0.8538,0.9396,0.9413,0.8056,0.6899,0.8355
29,neg_cos,0.7785,0.7875,0.8662,0.7556,0.8414,0.4946,0.7540
29,logit_nll,0.7044,0.7811,0.8071,0.7140,0.8172,0.5185,0.7237
29,maha_embed,0.7963,0.8844,0.9358,0.9421,0.8584,0.6813,0.8497
30,neg_cos,0.7494,0.8096,0.9013,0.8375,0.7555,0.5075,0.7601
30,logit_nll,0.7142,0.7718,0.7809,0.7331,0.8043,0.5107,0.7192
30,maha_embed,0.8439,0.9109,0.9329,0.9149,0.8823,0.6627,0.8579
31,neg_cos,0.7810,0.7925,0.8417,0.8067,0.8778,0.5111,0.7684
31,logit_nll,0.7086,0.7607,0.7684,0.7129,0.8154,0.5178,0.7140
31,maha_embed,0.7576,0.9016,0.9414,0.9385,0.8072,0.6760,0.8371
32,neg_cos,0.7330,0.8229,0.7842,0.8494,0.8814,0.6205,0.7819
32,logit_nll,0.7264,0.7621,0.6939,0.7296,0.8224,0.5275,0.7103
32,maha_embed,0.7959,0.8696,0.9174,0.9352,0.7613,0.6780,0.8263
33,neg_cos,0.7098,0.7682,0.8143,0.8391,0.8101,0.6197,0.7602
33,logit_nll,0.6846,0.7630,0.7676,0.7672,0.7950,0.5412,0.7198
33,maha_embed,0.8032,0.8963,0.9317,0.9130,0.8849,0.6617,0.8485
34,neg_cos,0.7697,0.9235,0.8256,0.8788,0.8448,0.4946,0.7895
34,logit_nll,0.7221,0.7872,0.7753,0.7474,0.8340,0.5313,0.7329
34,maha_embed,0.8235,0.9091,0.9453,0.8899,0.7815,0.7016,0.8418
