epoch,train_loss,train_acc,skipped
1,6.258249,52.5921,0
2,1.078099,89.8603,0
3,0.596944,94.1945,0
4,0.511930,94.9401,0
5,0.367985,96.4362,0
6,0.459132,95.5465,0
7,0.373468,96.0485,0
8,0.257705,97.4402,0
9,0.303954,97.0575,0
10,0.315267,96.9531,0
11,0.307310,97.0774,0
12,0.314011,97.0923,0
13,0.202092,98.0615,0
14,0.163201,98.3250,0
15,0.223134,97.7136,0
16,0.183731,98.1908,0
17,0.193270,98.0715,0
18,0.234290,97.6490,0
19,0.128908,98.8170,0
20,0.119538,98.7773,0
21,0.204690,97.9969,0
22,0.191486,98.2405,0
23,0.095714,98.8966,0
24,0.137406,98.5337,0
25,0.113748,98.9662,0
26,0.148154,98.3498,0
27,0.126948,98.8369,0
28,0.107257,98.9463,0
29,0.147907,98.4741,0
30,0.087429,99.1451,0
31,0.052395,99.3986,0
32,0.166537,98.3101,0
33,0.076988,99.1898,0
34,0.076933,99.2544,0
35,0.108424,98.8966,0
36,0.125862,98.7624,0
37,0.117224,98.8568,0
38,0.079334,99.2147,0
39,0.129317,98.8767,0
40,0.089039,99.2992,0
41,0.056683,99.2594,0
42,0.045970,99.5775,0
43,0.131212,98.7574,0
44,0.099074,98.9910,0
45,0.105514,99.0556,0
46,0.054854,99.4334,0
47,0.096243,98.9214,0
48,0.115534,98.9015,0
49,0.080522,99.2395,0
50,0.043965,99.4731,0
