epoch,section,n,neg_cos,maha_embed
1,ToyCar/id_01,614,0.7154,0.7312
1,ToyCar/id_02,615,0.8615,0.8326
1,ToyCar/id_03,615,0.7753,0.7205
1,ToyCar/id_04,615,0.9886,0.8335
1,ToyConveyor/id_01,1200,0.6327,0.7923
1,ToyConveyor/id_02,1155,0.5372,0.5500
1,ToyConveyor/id_03,1154,0.6730,0.6408
2,ToyCar/id_01,614,0.6975,0.7492
2,ToyCar/id_02,615,0.8698,0.8978
2,ToyCar/id_03,615,0.5416,0.8466
2,ToyCar/id_04,615,0.8398,0.9539
2,ToyConveyor/id_01,1200,0.7654,0.7648
2,ToyConveyor/id_02,1155,0.5355,0.6005
2,ToyConveyor/id_03,1154,0.6304,0.7130
3,ToyCar/id_01,614,0.7207,0.7704
3,ToyCar/id_02,615,0.7578,0.8962
3,ToyCar/id_03,615,0.9311,0.8061
3,ToyCar/id_04,615,0.9999,0.8501
3,ToyConveyor/id_01,1200,0.7402,0.7323
3,ToyConveyor/id_02,1155,0.5198,0.6002
3,ToyConveyor/id_03,1154,0.5513,0.7063
4,ToyCar/id_01,614,0.7975,0.7605
4,ToyCar/id_02,615,0.7704,0.8809
4,ToyCar/id_03,615,0.8100,0.8472
4,ToyCar/id_04,615,0.9920,0.9768
4,ToyConveyor/id_01,1200,0.7386,0.7661
4,ToyConveyor/id_02,1155,0.4677,0.6667
4,ToyConveyor/id_03,1154,0.7546,0.7085
5,ToyCar/id_01,614,0.5600,0.8306
5,ToyCar/id_02,615,0.7867,0.8689
5,ToyCar/id_03,615,0.9123,0.9020
5,ToyCar/id_04,615,0.9975,0.8107
5,ToyConveyor/id_01,1200,0.6727,0.6745
5,ToyConveyor/id_02,1155,0.4051,0.6144
5,ToyConveyor/id_03,1154,0.5795,0.6657
6,ToyCar/id_01,614,0.7797,0.8492
6,ToyCar/id_02,615,0.8728,0.8872
6,ToyCar/id_03,615,0.9108,0.9438
6,ToyCar/id_04,615,0.9896,0.9320
6,ToyConveyor/id_01,1200,0.5727,0.7316
6,ToyConveyor/id_02,1155,0.6434,0.6432
6,ToyConveyor/id_03,1154,0.6863,0.7374
7,ToyCar/id_01,614,0.6521,0.7972
7,ToyCar/id_02,615,0.7567,0.9030
7,ToyCar/id_03,615,0.9363,0.8866
7,ToyCar/id_04,615,0.9969,0.9391
7,ToyConveyor/id_01,1200,0.5791,0.7226
7,ToyConveyor/id_02,1155,0.5466,0.6025
7,ToyConveyor/id_03,1154,0.4160,0.6869
8,ToyCar/id_01,614,0.8604,0.8258
8,ToyCar/id_02,615,0.9423,0.8895
8,ToyCar/id_03,615,0.9854,0.8810
8,ToyCar/id_04,615,0.9928,0.8889
8,ToyConveyor/id_01,1200,0.7658,0.7762
8,ToyConveyor/id_02,1155,0.5754,0.5951
8,ToyConveyor/id_03,1154,0.5020,0.6958
9,ToyCar/id_01,614,0.8582,0.7300
9,ToyCar/id_02,615,0.9148,0.8658
9,ToyCar/id_03,615,0.9815,0.7068
9,ToyCar/id_04,615,0.9954,0.8480
9,ToyConveyor/id_01,1200,0.7597,0.7628
9,ToyConveyor/id_02,1155,0.5964,0.5523
9,ToyConveyor/id_03,1154,0.6037,0.6493
10,ToyCar/id_01,614,0.8161,0.8445
10,ToyCar/id_02,615,0.8802,0.8747
10,ToyCar/id_03,615,0.8976,0.9093
10,ToyCar/id_04,615,0.9982,0.8667
10,ToyConveyor/id_01,1200,0.4383,0.8084
10,ToyConveyor/id_02,1155,0.5666,0.5665
10,ToyConveyor/id_03,1154,0.5039,0.7002
11,ToyCar/id_01,614,0.7569,0.8014
11,ToyCar/id_02,615,0.6763,0.8890
11,ToyCar/id_03,615,0.8107,0.9171
11,ToyCar/id_04,615,0.9903,0.9022
11,ToyConveyor/id_01,1200,0.7366,0.7121
11,ToyConveyor/id_02,1155,0.5663,0.5839
11,ToyConveyor/id_03,1154,0.6878,0.7301
12,ToyCar/id_01,614,0.7735,0.8140
12,ToyCar/id_02,615,0.7442,0.9006
12,ToyCar/id_03,615,0.8561,0.8432
12,ToyCar/id_04,615,0.9915,0.8636
12,ToyConveyor/id_01,1200,0.7786,0.7846
12,ToyConveyor/id_02,1155,0.5505,0.6099
12,ToyConveyor/id_03,1154,0.4476,0.6682
13,ToyCar/id_01,614,0.8013,0.8417
13,ToyCar/id_02,615,0.6711,0.8655
13,ToyCar/id_03,615,0.9478,0.9541
13,ToyCar/id_04,615,0.9926,0.9409
13,ToyConveyor/id_01,1200,0.7407,0.8092
13,ToyConveyor/id_02,1155,0.5990,0.6250
13,ToyConveyor/id_03,1154,0.5527,0.6612
14,ToyCar/id_01,614,0.7960,0.7889
14,ToyCar/id_02,615,0.8534,0.8779
14,ToyCar/id_03,615,0.9869,0.9193
14,ToyCar/id_04,615,0.9993,0.9208
14,ToyConveyor/id_01,1200,0.8816,0.8368
14,ToyConveyor/id_02,1155,0.5460,0.6005
14,ToyConveyor/id_03,1154,0.6815,0.6193
15,ToyCar/id_01,614,0.8667,0.8345
15,ToyCar/id_02,615,0.8749,0.8449
15,ToyCar/id_03,615,0.9671,0.9214
15,ToyCar/id_04,615,0.9887,0.7723
15,ToyConveyor/id_01,1200,0.6913,0.7687
15,ToyConveyor/id_02,1155,0.5769,0.5659
15,ToyConveyor/id_03,1154,0.4413,0.5989
16,ToyCar/id_01,614,0.7929,0.8295
16,ToyCar/id_02,615,0.9317,0.8878
16,ToyCar/id_03,615,0.9853,0.9170
16,ToyCar/id_04,615,0.9822,0.8747
16,ToyConveyor/id_01,1200,0.8164,0.8148
16,ToyConveyor/id_02,1155,0.5287,0.5933
