# SALVAGED from the run log after metric_curve.csv was overwritten on 2026-08-09. Mean over classes only; no per-class columns, no logit_nll.
epoch,train_loss,train_acc,skipped,neg_cos_mean,maha_embed_mean
1,5.6379,56.16,0,75.13,78.28
2,1.1075,89.92,0,76.72,81.76
3,0.7963,92.51,0,73.69,76.28
4,0.6826,93.70,0,77.37,81.27
5,0.5225,94.93,0,76.19,82.84
6,0.4545,96.00,0,75.92,80.75
7,0.4130,96.18,0,71.95,79.94
8,0.4032,95.87,0,75.92,84.49
9,0.2972,97.29,0,76.60,84.56
10,0.2840,97.26,0,76.51,84.49
11,0.3399,96.21,0,73.46,80.85
12,0.4133,96.41,0,82.68,83.72
13,0.2185,98.04,0,77.84,83.16
14,0.2325,97.87,0,78.98,82.63
15,0.2344,97.83,0,76.98,82.94
16,0.2069,97.98,0,78.64,80.99
17,0.2457,97.96,0,76.85,82.57
18,0.2977,97.25,0,81.79,81.99
19,0.3322,97.07,0,77.95,82.48
20,0.1173,98.95,0,78.29,82.75
21,0.2119,97.94,0,79.22,86.21
22,0.1904,98.30,0,76.06,85.71
23,0.0785,99.34,0,77.45,85.22
24,0.2437,97.52,0,77.60,85.28
25,0.2003,98.11,0,74.66,83.12
26,0.1410,98.67,0,80.02,82.73
27,0.1319,98.66,0,78.50,80.72
28,0.1864,98.12,0,75.78,83.49
29,0.1596,98.63,0,78.01,83.01
30,0.1480,98.75,0,76.29,81.58
31,0.1431,98.47,0,75.74,82.76
32,0.0900,99.14,0,78.40,83.45
33,0.0713,99.31,0,80.75,83.58
34,0.1995,98.08,0,78.03,84.75
35,0.1326,98.84,0,76.97,84.57
36,0.0517,99.61,0,71.64,85.22
37,0.0794,99.21,0,76.83,84.32
38,0.1221,98.76,0,73.82,84.25
39,0.0975,99.03,0,72.98,82.28
40,0.1279,98.69,0,76.51,83.81
41,0.1317,98.88,0,76.81,83.65
42,0.1031,99.19,0,76.94,83.51
43,0.0951,99.10,0,75.14,80.74
44,0.0725,99.16,0,77.47,80.97
45,0.0958,99.04,0,73.23,83.88
46,0.0549,99.39,0,76.44,85.14
47,0.0823,99.14,0,78.88,82.06
48,0.0524,99.46,0,76.71,83.79
49,0.0612,99.42,0,78.68,84.61
50,0.0770,99.04,0,75.74,80.43
