backbone,scorer,class,AUROC
ResNet34,maha_concat,fan,58.44
ResNet34,maha_concat,pump,72.06
ResNet34,maha_concat,slider,90.78
ResNet34,maha_concat,valve,70.02
ResNet34,maha_concat,ToyCar,75.68
ResNet34,maha_concat,ToyConveyor,63.79
ResNet34,maha_concat,Avg,71.8
CNN14,cnn14_emb_maha,fan,50.36
CNN14,cnn14_emb_maha,pump,67.84
CNN14,cnn14_emb_maha,slider,90.32
CNN14,cnn14_emb_maha,valve,71.92
CNN14,cnn14_emb_maha,ToyCar,75.96
CNN14,cnn14_emb_maha,ToyConveyor,58.66
CNN14,cnn14_emb_maha,Avg,69.18
AST,ast_meanpatch_maha,fan,56.67
AST,ast_meanpatch_maha,pump,82.3
AST,ast_meanpatch_maha,slider,93.62
AST,ast_meanpatch_maha,valve,78.89
AST,ast_meanpatch_maha,ToyCar,82.7
AST,ast_meanpatch_maha,ToyConveyor,66.35
AST,ast_meanpatch_maha,Avg,76.75
STgram-MFN,supervised,fan,87.09
STgram-MFN,supervised,pump,90.94
STgram-MFN,supervised,slider,98.87
STgram-MFN,supervised,valve,98.59
STgram-MFN,supervised,ToyCar,94.72
STgram-MFN,supervised,ToyConveyor,74.27
STgram-MFN,supervised,Avg,90.75
