backbone,method,class,AUROC
AST,ast_pooler_maha,fan,54.2
AST,ast_pooler_maha,pump,79.18
AST,ast_pooler_maha,slider,92.37
AST,ast_pooler_maha,valve,74.2
AST,ast_pooler_maha,ToyCar,76.79
AST,ast_pooler_maha,ToyConveyor,63.9
AST,ast_pooler_maha,Avg,73.44
AST,ast_pooler_knn,fan,53.42
AST,ast_pooler_knn,pump,75.46
AST,ast_pooler_knn,slider,87.55
AST,ast_pooler_knn,valve,69.01
AST,ast_pooler_knn,ToyCar,70.42
AST,ast_pooler_knn,ToyConveyor,62.11
AST,ast_pooler_knn,Avg,69.66
AST,ast_meanpatch_maha,fan,56.67
AST,ast_meanpatch_maha,pump,82.3
AST,ast_meanpatch_maha,slider,93.62
AST,ast_meanpatch_maha,valve,78.89
AST,ast_meanpatch_maha,ToyCar,82.7
AST,ast_meanpatch_maha,ToyConveyor,66.35
AST,ast_meanpatch_maha,Avg,76.75
AST,ast_meanpatch_knn,fan,56.6
AST,ast_meanpatch_knn,pump,79.72
AST,ast_meanpatch_knn,slider,87.88
AST,ast_meanpatch_knn,valve,71.46
AST,ast_meanpatch_knn,ToyCar,78.37
AST,ast_meanpatch_knn,ToyConveyor,63.04
AST,ast_meanpatch_knn,Avg,72.85
CNN14,cnn14_emb_maha,fan,50.36
CNN14,cnn14_emb_maha,pump,67.84
CNN14,cnn14_emb_maha,slider,90.32
CNN14,cnn14_emb_maha,valve,71.92
CNN14,cnn14_emb_maha,ToyCar,75.96
CNN14,cnn14_emb_maha,ToyConveyor,58.66
CNN14,cnn14_emb_maha,Avg,69.18
CNN14,cnn14_emb_knn,fan,50.47
CNN14,cnn14_emb_knn,pump,68.46
CNN14,cnn14_emb_knn,slider,88.92
CNN14,cnn14_emb_knn,valve,71.38
CNN14,cnn14_emb_knn,ToyCar,76.38
CNN14,cnn14_emb_knn,ToyConveyor,58.43
CNN14,cnn14_emb_knn,Avg,69.01
