epoch,hilbert,zorder,scan,sweep,zigzag
2,68.33,66.744,68.103,66.411,68.243
4,69.297,69.012,68.895,68.135,69.364
6,69.998,69.115,69.456,68.905,70.099
8,69.608,69.647,69.631,69.195,69.743
10,70.21,70.505,69.999,69.063,70.222
12,70.261,70.425,69.99,68.975,70.252
14,70.491,70.886,70.33,69.342,70.034
16,71.238,71.318,70.875,70.03,70.659
18,71.174,71.306,71.028,70.587,70.868
20,71.472,71.753,71.185,71.069,71.073
22,71.722,71.895,71.25,71.309,71.448
24,71.776,71.944,71.701,71.425,71.69
26,71.746,71.737,71.388,71.381,71.667
28,72.151,71.914,71.9,71.713,71.983
30,71.96,71.972,71.449,71.759,71.471
32,71.987,71.983,71.741,71.672,71.747
34,72.126,71.919,71.957,71.66,71.711
36,72.253,71.831,72.067,71.831,71.774
38,71.929,72.312,71.979,71.656,72.046
40,72.544,72.597,72.468,72.005,72.468
42,72.362,72.401,72.279,71.972,72.386
44,72.44,72.574,72.401,72.058,72.587
46,72.33,72.441,72.331,72.06,72.494
48,72.299,72.455,72.344,72.008,72.512
50,72.296,72.493,72.304,72.074,72.487
