class,scan,epoch,AUROC
fan,hilbert,2,57.333
fan,hilbert,4,60.307
fan,hilbert,6,57.663
fan,hilbert,8,57.108
fan,hilbert,10,56.609
fan,hilbert,12,56.859
fan,hilbert,14,56.891
fan,hilbert,16,57.486
fan,hilbert,18,57.488
fan,hilbert,20,57.47
fan,hilbert,22,57.488
fan,hilbert,24,57.619
fan,hilbert,26,56.851
fan,hilbert,28,57.357
fan,hilbert,30,57.698
fan,hilbert,32,57.6
fan,hilbert,34,57.948
fan,hilbert,36,57.325
fan,hilbert,38,57.527
fan,hilbert,40,57.486
fan,hilbert,42,57.468
fan,hilbert,44,57.46
fan,hilbert,46,57.342
fan,hilbert,48,57.306
fan,hilbert,50,57.344
fan,zorder,2,57.181
fan,zorder,4,57.622
fan,zorder,6,57.883
fan,zorder,8,58.699
fan,zorder,10,58.532
fan,zorder,12,57.991
fan,zorder,14,57.977
fan,zorder,16,57.728
fan,zorder,18,57.55
fan,zorder,20,57.847
fan,zorder,22,58.043
fan,zorder,24,57.89
fan,zorder,26,58.21
fan,zorder,28,58.164
fan,zorder,30,58.466
fan,zorder,32,58.765
fan,zorder,34,58.496
fan,zorder,36,57.831
fan,zorder,38,58.025
fan,zorder,40,58.856
fan,zorder,42,58.143
fan,zorder,44,58.244
fan,zorder,46,58.241
fan,zorder,48,58.164
fan,zorder,50,58.046
fan,scan,2,59.159
fan,scan,4,57.669
fan,scan,6,57.794
fan,scan,8,57.293
fan,scan,10,57.328
fan,scan,12,57.139
fan,scan,14,57.107
fan,scan,16,57.183
fan,scan,18,57.647
fan,scan,20,57.478
fan,scan,22,56.748
fan,scan,24,57.749
fan,scan,26,57.414
fan,scan,28,58.109
fan,scan,30,57.77
fan,scan,32,57.777
fan,scan,34,58.106
fan,scan,36,57.819
fan,scan,38,57.773
fan,scan,40,58.108
fan,scan,42,57.959
fan,scan,44,58.123
fan,scan,46,58.018
fan,scan,48,58.026
fan,scan,50,57.971
fan,sweep,2,56.571
fan,sweep,4,56.773
fan,sweep,6,57.023
fan,sweep,8,56.599
fan,sweep,10,56.489
fan,sweep,12,56.19
fan,sweep,14,55.963
fan,sweep,16,56.9
fan,sweep,18,56.815
fan,sweep,20,57.195
fan,sweep,22,56.804
fan,sweep,24,57.066
fan,sweep,26,57.067
fan,sweep,28,57.38
fan,sweep,30,57.195
fan,sweep,32,57.389
fan,sweep,34,57.153
fan,sweep,36,57.026
fan,sweep,38,57.17
fan,sweep,40,57.346
fan,sweep,42,57.263
fan,sweep,44,57.25
fan,sweep,46,57.231
fan,sweep,48,57.288
fan,sweep,50,57.219
fan,zigzag,2,58.335
fan,zigzag,4,57.532
fan,zigzag,6,57.667
fan,zigzag,8,57.279
fan,zigzag,10,57.361
fan,zigzag,12,57.007
fan,zigzag,14,57.089
fan,zigzag,16,57.352
fan,zigzag,18,57.488
fan,zigzag,20,57.374
fan,zigzag,22,57.153
fan,zigzag,24,57.312
fan,zigzag,26,57.485
fan,zigzag,28,57.909
fan,zigzag,30,57.636
fan,zigzag,32,57.846
fan,zigzag,34,58.053
fan,zigzag,36,57.35
fan,zigzag,38,57.871
fan,zigzag,40,58.414
fan,zigzag,42,58.363
fan,zigzag,44,58.431
fan,zigzag,46,58.28
fan,zigzag,48,58.345
fan,zigzag,50,58.173
pump,hilbert,2,73.875
pump,hilbert,4,72.783
pump,hilbert,6,75.59
pump,hilbert,8,75.453
pump,hilbert,10,76.245
pump,hilbert,12,75.936
pump,hilbert,14,76.216
pump,hilbert,16,75.996
pump,hilbert,18,75.625
pump,hilbert,20,76.346
pump,hilbert,22,76.186
pump,hilbert,24,76.476
pump,hilbert,26,76.046
pump,hilbert,28,75.732
pump,hilbert,30,75.429
pump,hilbert,32,75.425
pump,hilbert,34,75.433
pump,hilbert,36,75.371
pump,hilbert,38,75.207
pump,hilbert,40,75.121
pump,hilbert,42,75.143
pump,hilbert,44,75.296
pump,hilbert,46,74.962
pump,hilbert,48,75.075
pump,hilbert,50,75.217
pump,zorder,2,73.354
pump,zorder,4,75.446
pump,zorder,6,75.065
pump,zorder,8,74.711
pump,zorder,10,76.442
pump,zorder,12,75.771
pump,zorder,14,75.789
pump,zorder,16,75.88
pump,zorder,18,76.339
pump,zorder,20,76.598
pump,zorder,22,77.143
pump,zorder,24,76.898
pump,zorder,26,75.859
pump,zorder,28,76.253
pump,zorder,30,76.129
pump,zorder,32,76.064
pump,zorder,34,76.207
pump,zorder,36,75.583
pump,zorder,38,76.169
pump,zorder,40,75.248
pump,zorder,42,75.216
pump,zorder,44,75.406
pump,zorder,46,75.056
pump,zorder,48,75.23
pump,zorder,50,75.335
pump,scan,2,73.214
pump,scan,4,75.169
pump,scan,6,74.221
pump,scan,8,75.197
pump,scan,10,76.065
pump,scan,12,75.721
pump,scan,14,75.497
pump,scan,16,75.344
pump,scan,18,75.613
pump,scan,20,75.41
pump,scan,22,75.223
pump,scan,24,76.032
pump,scan,26,75.92
pump,scan,28,75.206
pump,scan,30,74.877
pump,scan,32,74.924
pump,scan,34,74.845
pump,scan,36,74.923
pump,scan,38,75.034
pump,scan,40,74.86
pump,scan,42,74.64
pump,scan,44,74.63
pump,scan,46,74.57
pump,scan,48,74.6
pump,scan,50,74.646
pump,sweep,2,71.336
pump,sweep,4,75.423
pump,sweep,6,75.188
pump,sweep,8,74.909
pump,sweep,10,74.802
pump,sweep,12,75.067
pump,sweep,14,74.87
pump,sweep,16,75.331
pump,sweep,18,76.188
pump,sweep,20,76.425
pump,sweep,22,76.314
pump,sweep,24,76.715
pump,sweep,26,76.146
pump,sweep,28,76.098
pump,sweep,30,75.976
pump,sweep,32,75.509
pump,sweep,34,75.76
pump,sweep,36,75.196
pump,sweep,38,74.863
pump,sweep,40,74.302
pump,sweep,42,74.491
pump,sweep,44,74.537
pump,sweep,46,74.421
pump,sweep,48,74.391
pump,sweep,50,74.652
