scan,peak_epoch,class,AUROC
hilbert,40,fan,57.486
hilbert,40,pump,75.121
hilbert,40,slider,89.897
hilbert,40,valve,71.951
hilbert,40,ToyCar,75.371
hilbert,40,ToyConveyor,65.437
hilbert,40,Avg,72.544
zorder,40,fan,58.856
zorder,40,pump,75.248
zorder,40,slider,90.088
zorder,40,valve,72.047
zorder,40,ToyCar,74.0
zorder,40,ToyConveyor,65.344
zorder,40,Avg,72.597
scan,40,fan,58.108
scan,40,pump,74.86
scan,40,slider,89.46
scan,40,valve,71.847
scan,40,ToyCar,75.17
scan,40,ToyConveyor,65.362
scan,40,Avg,72.468
sweep,50,fan,57.219
sweep,50,pump,74.652
sweep,50,slider,89.444
sweep,50,valve,71.419
sweep,50,ToyCar,74.631
sweep,50,ToyConveyor,65.077
sweep,50,Avg,72.074
zigzag,44,fan,58.431
zigzag,44,pump,75.333
zigzag,44,slider,89.742
zigzag,44,valve,71.326
zigzag,44,ToyCar,75.103
zigzag,44,ToyConveyor,65.59
zigzag,44,Avg,72.587
