scan,class,family,AUROC_at_avgpeak,avgpeak_epoch,AUROC_at_ownpeak,ownpeak_epoch,AUROC_final,final_epoch,AP_at_avgpeak,F1_at_avgpeak
hilbert,fan,sp_max,57.486,40,60.307,4,57.344,50,81.597,88.184
hilbert,pump,sp_max,75.121,40,76.476,24,75.217,50,77.328,73.025
hilbert,slider,sp_max,89.897,40,89.955,50,89.955,50,95.4,88.088
hilbert,valve,sp_max,71.951,40,72.599,2,71.364,50,71.354,75.88
hilbert,ToyCar,sp_max,75.371,40,75.371,40,74.911,50,66.017,68.2
hilbert,ToyConveyor,sp_max,65.437,40,65.437,40,64.988,50,46.838,51.031
hilbert,Avg,sp_max,72.544,40,72.544,40,72.296,50,73.089,74.068
hilbert,fan,sp_mean,57.486,40,60.307,4,57.344,50,81.597,88.184
hilbert,pump,sp_mean,75.121,40,76.476,24,75.217,50,77.328,73.025
hilbert,slider,sp_mean,89.897,40,89.955,50,89.955,50,95.4,88.088
hilbert,valve,sp_mean,71.951,40,72.599,2,71.364,50,71.354,75.88
hilbert,ToyCar,sp_mean,75.371,40,75.371,40,74.911,50,66.017,68.2
hilbert,ToyConveyor,sp_mean,65.437,40,65.437,40,64.988,50,46.838,51.031
hilbert,Avg,sp_mean,72.544,40,72.544,40,72.296,50,73.089,74.068
zorder,fan,sp_max,58.856,40,58.856,40,58.046,50,82.067,88.112
zorder,pump,sp_max,75.248,40,77.143,22,75.335,50,77.091,74.045
zorder,slider,sp_max,90.088,40,90.472,50,90.472,50,95.455,88.612
zorder,valve,sp_max,72.047,40,72.454,12,72.007,50,71.166,76.569
zorder,ToyCar,sp_max,74.0,40,74.185,50,74.185,50,64.616,68.177
zorder,ToyConveyor,sp_max,65.344,40,65.344,40,64.911,50,46.278,51.604
zorder,Avg,sp_max,72.597,40,72.597,40,72.493,50,72.779,74.52
zorder,fan,sp_mean,58.856,40,58.856,40,58.046,50,82.067,88.112
zorder,pump,sp_mean,75.248,40,77.143,22,75.335,50,77.091,74.045
zorder,slider,sp_mean,90.088,40,90.472,50,90.472,50,95.455,88.612
zorder,valve,sp_mean,72.047,40,72.454,12,72.007,50,71.166,76.569
zorder,ToyCar,sp_mean,74.0,40,74.185,50,74.185,50,64.616,68.177
zorder,ToyConveyor,sp_mean,65.344,40,65.344,40,64.911,50,46.278,51.604
zorder,Avg,sp_mean,72.597,40,72.597,40,72.493,50,72.779,74.52
scan,fan,sp_max,58.108,40,59.159,2,57.971,50,81.906,88.262
scan,pump,sp_max,74.86,40,76.065,10,74.646,50,76.912,73.864
scan,slider,sp_max,89.46,40,89.819,50,89.819,50,95.217,88.064
scan,valve,sp_max,71.847,40,71.847,40,71.336,50,71.062,75.452
scan,ToyCar,sp_max,75.17,40,75.291,44,75.063,50,65.15,68.543
scan,ToyConveyor,sp_max,65.362,40,65.505,36,64.99,50,46.361,51.187
scan,Avg,sp_max,72.468,40,72.468,40,72.304,50,72.768,74.229
scan,fan,sp_mean,58.108,40,59.159,2,57.971,50,81.906,88.262
scan,pump,sp_mean,74.86,40,76.065,10,74.646,50,76.912,73.864
scan,slider,sp_mean,89.46,40,89.819,50,89.819,50,95.217,88.064
scan,valve,sp_mean,71.847,40,71.847,40,71.336,50,71.062,75.452
scan,ToyCar,sp_mean,75.17,40,75.291,44,75.063,50,65.15,68.543
scan,ToyConveyor,sp_mean,65.362,40,65.505,36,64.99,50,46.361,51.187
scan,Avg,sp_mean,72.468,40,72.468,40,72.304,50,72.768,74.229
sweep,fan,sp_max,57.219,50,57.389,32,57.219,50,81.53,88.06
sweep,pump,sp_max,74.652,50,76.715,24,74.652,50,76.389,74.002
sweep,slider,sp_max,89.444,50,89.772,36,89.444,50,95.145,87.965
sweep,valve,sp_max,71.419,50,71.719,22,71.419,50,70.893,75.314
sweep,ToyCar,sp_max,74.631,50,74.843,40,74.631,50,65.051,68.468
sweep,ToyConveyor,sp_max,65.077,50,65.346,46,65.077,50,45.827,51.504
sweep,Avg,sp_max,72.074,50,72.074,50,72.074,50,72.472,74.219
sweep,fan,sp_mean,57.219,50,57.389,32,57.219,50,81.53,88.06
sweep,pump,sp_mean,74.652,50,76.715,24,74.652,50,76.389,74.002
sweep,slider,sp_mean,89.444,50,89.772,36,89.444,50,95.145,87.965
sweep,valve,sp_mean,71.419,50,71.719,22,71.419,50,70.893,75.314
sweep,ToyCar,sp_mean,74.631,50,74.843,40,74.631,50,65.051,68.468
sweep,ToyConveyor,sp_mean,65.077,50,65.346,46,65.077,50,45.828,51.504
