epoch,cos-residual,student-maha,student-knn,teacher-maha,teacher-knn
2,59.628,68.33,67.503,71.792,71.543
4,63.215,69.297,69.228,71.792,71.543
6,63.615,69.998,68.597,71.792,71.543
8,64.067,69.608,68.84,71.792,71.543
10,64.716,70.21,69.139,71.792,71.543
12,63.863,70.261,68.731,71.792,71.543
14,64.329,70.491,69.353,71.792,71.543
16,63.569,71.238,69.429,71.792,71.543
18,63.497,71.174,69.605,71.792,71.543
20,63.612,71.472,69.787,71.792,71.543
22,63.379,71.722,69.844,71.792,71.543
24,63.1,71.776,70.059,71.792,71.543
26,62.914,71.746,70.152,71.792,71.543
28,62.132,72.151,70.288,71.792,71.543
30,62.266,71.96,70.324,71.792,71.543
32,62.852,71.987,70.147,71.792,71.543
34,62.063,72.126,70.306,71.792,71.543
36,61.983,72.253,70.453,71.792,71.543
38,61.757,71.929,70.457,71.792,71.543
40,61.656,72.544,70.676,71.792,71.543
42,61.752,72.362,70.663,71.792,71.543
44,61.781,72.44,70.719,71.792,71.543
46,61.783,72.33,70.637,71.792,71.543
48,61.878,72.299,70.74,71.792,71.543
50,61.996,72.296,70.706,71.792,71.543
