epoch,cos-residual,student-maha,student-knn,teacher-maha,teacher-knn
2,64.656,68.33,67.503,71.792,71.543
4,67.035,69.297,69.228,71.792,71.543
6,67.328,69.998,68.597,71.792,71.543
8,68.063,69.608,68.84,71.792,71.543
10,68.46,70.21,69.139,71.792,71.543
12,67.89,70.261,68.731,71.792,71.543
14,67.748,70.491,69.353,71.792,71.543
16,67.718,71.238,69.429,71.792,71.543
18,66.978,71.174,69.605,71.792,71.543
20,67.258,71.472,69.787,71.792,71.543
22,67.196,71.722,69.844,71.792,71.543
24,66.604,71.776,70.059,71.792,71.543
26,66.302,71.746,70.152,71.792,71.543
28,66.331,72.151,70.288,71.792,71.543
30,66.098,71.96,70.324,71.792,71.543
32,66.11,71.987,70.147,71.792,71.543
34,65.62,72.126,70.306,71.792,71.543
36,65.48,72.253,70.453,71.792,71.543
38,65.483,71.929,70.457,71.792,71.543
40,65.126,72.544,70.676,71.792,71.543
42,65.371,72.362,70.663,71.792,71.543
44,65.41,72.44,70.719,71.792,71.543
46,65.455,72.33,70.637,71.792,71.543
48,65.379,72.299,70.74,71.792,71.543
50,65.5,72.296,70.706,71.792,71.543
