class,scorer,epoch,AUROC
fan,cos-residual,2,56.041
fan,cos-residual,4,60.193
fan,cos-residual,6,57.78
fan,cos-residual,8,58.526
fan,cos-residual,10,58.998
fan,cos-residual,12,58.694
fan,cos-residual,14,58.482
fan,cos-residual,16,58.672
fan,cos-residual,18,58.265
fan,cos-residual,20,58.231
fan,cos-residual,22,58.094
fan,cos-residual,24,57.947
fan,cos-residual,26,57.775
fan,cos-residual,28,58.015
fan,cos-residual,30,57.695
fan,cos-residual,32,57.558
fan,cos-residual,34,57.442
fan,cos-residual,36,57.121
fan,cos-residual,38,57.335
fan,cos-residual,40,57.433
fan,cos-residual,42,57.063
fan,cos-residual,44,57.26
fan,cos-residual,46,57.202
fan,cos-residual,48,57.209
fan,cos-residual,50,57.284
fan,student-maha,2,57.333
fan,student-maha,4,60.307
fan,student-maha,6,57.663
fan,student-maha,8,57.108
fan,student-maha,10,56.609
fan,student-maha,12,56.859
fan,student-maha,14,56.891
fan,student-maha,16,57.486
fan,student-maha,18,57.488
fan,student-maha,20,57.47
fan,student-maha,22,57.488
fan,student-maha,24,57.619
fan,student-maha,26,56.851
fan,student-maha,28,57.357
fan,student-maha,30,57.698
fan,student-maha,32,57.6
fan,student-maha,34,57.948
fan,student-maha,36,57.325
fan,student-maha,38,57.527
fan,student-maha,40,57.486
fan,student-maha,42,57.468
fan,student-maha,44,57.46
fan,student-maha,46,57.342
fan,student-maha,48,57.306
fan,student-maha,50,57.344
fan,student-knn,2,55.946
fan,student-knn,4,60.361
fan,student-knn,6,57.491
fan,student-knn,8,57.366
fan,student-knn,10,57.571
fan,student-knn,12,57.093
fan,student-knn,14,57.556
fan,student-knn,16,57.839
fan,student-knn,18,57.757
fan,student-knn,20,58.046
fan,student-knn,22,57.689
fan,student-knn,24,58.252
fan,student-knn,26,58.025
fan,student-knn,28,58.238
fan,student-knn,30,58.233
fan,student-knn,32,58.371
fan,student-knn,34,58.742
fan,student-knn,36,57.935
fan,student-knn,38,58.043
fan,student-knn,40,58.211
fan,student-knn,42,58.306
fan,student-knn,44,58.34
fan,student-knn,46,58.217
fan,student-knn,48,58.258
fan,student-knn,50,58.241
fan,teacher-maha,2,58.441
fan,teacher-maha,4,58.441
fan,teacher-maha,6,58.441
fan,teacher-maha,8,58.441
fan,teacher-maha,10,58.441
fan,teacher-maha,12,58.441
fan,teacher-maha,14,58.441
fan,teacher-maha,16,58.441
fan,teacher-maha,18,58.441
fan,teacher-maha,20,58.441
fan,teacher-maha,22,58.441
fan,teacher-maha,24,58.441
fan,teacher-maha,26,58.441
fan,teacher-maha,28,58.441
fan,teacher-maha,30,58.441
fan,teacher-maha,32,58.441
fan,teacher-maha,34,58.441
fan,teacher-maha,36,58.441
fan,teacher-maha,38,58.441
fan,teacher-maha,40,58.441
fan,teacher-maha,42,58.441
fan,teacher-maha,44,58.441
fan,teacher-maha,46,58.441
fan,teacher-maha,48,58.441
fan,teacher-maha,50,58.441
fan,teacher-knn,2,58.36
fan,teacher-knn,4,58.36
fan,teacher-knn,6,58.36
fan,teacher-knn,8,58.36
fan,teacher-knn,10,58.36
fan,teacher-knn,12,58.36
fan,teacher-knn,14,58.36
fan,teacher-knn,16,58.36
fan,teacher-knn,18,58.36
fan,teacher-knn,20,58.36
fan,teacher-knn,22,58.36
fan,teacher-knn,24,58.36
fan,teacher-knn,26,58.36
fan,teacher-knn,28,58.36
fan,teacher-knn,30,58.36
fan,teacher-knn,32,58.36
fan,teacher-knn,34,58.36
fan,teacher-knn,36,58.36
fan,teacher-knn,38,58.36
fan,teacher-knn,40,58.36
fan,teacher-knn,42,58.36
fan,teacher-knn,44,58.36
fan,teacher-knn,46,58.36
fan,teacher-knn,48,58.36
fan,teacher-knn,50,58.36
pump,cos-residual,2,62.757
pump,cos-residual,4,63.152
pump,cos-residual,6,63.897
pump,cos-residual,8,64.448
pump,cos-residual,10,64.416
pump,cos-residual,12,63.912
pump,cos-residual,14,63.77
pump,cos-residual,16,63.708
