scorer,peak_epoch,class,AUROC
cos-residual,10,fan,58.998
cos-residual,10,pump,64.416
cos-residual,10,slider,88.498
cos-residual,10,valve,64.7
cos-residual,10,ToyCar,69.807
cos-residual,10,ToyConveyor,64.341
cos-residual,10,Avg,68.46
student-maha,40,fan,57.486
student-maha,40,pump,75.121
student-maha,40,slider,89.897
student-maha,40,valve,71.951
student-maha,40,ToyCar,75.371
student-maha,40,ToyConveyor,65.437
student-maha,40,Avg,72.544
student-knn,48,fan,58.258
student-knn,48,pump,75.604
student-knn,48,slider,87.505
student-knn,48,valve,70.662
student-knn,48,ToyCar,70.214
student-knn,48,ToyConveyor,62.193
student-knn,48,Avg,70.74
teacher-maha,2,fan,58.441
teacher-maha,2,pump,72.06
teacher-maha,2,slider,90.779
teacher-maha,2,valve,70.001
teacher-maha,2,ToyCar,75.682
teacher-maha,2,ToyConveyor,63.788
teacher-maha,2,Avg,71.792
teacher-knn,2,fan,58.36
teacher-knn,2,pump,74.886
teacher-knn,2,slider,88.251
teacher-knn,2,valve,69.467
teacher-knn,2,ToyCar,74.138
teacher-knn,2,ToyConveyor,64.157
teacher-knn,2,Avg,71.543
