scorer,class,family,AUROC_at_avgpeak,avgpeak_epoch,AUROC_at_ownpeak,ownpeak_epoch,AUROC_final,final_epoch,AP_at_avgpeak,F1_at_avgpeak
cos-residual,fan,sp_max,55.853,10,58.597,4,55.415,50,80.34,88.06
cos-residual,pump,sp_max,59.018,10,59.929,12,58.053,50,63.876,69.512
cos-residual,slider,sp_max,88.821,10,89.856,32,88.578,50,94.889,87.559
cos-residual,valve,sp_max,61.491,10,61.491,10,54.759,50,62.34,71.121
cos-residual,ToyCar,sp_max,61.608,10,62.995,4,55.407,50,51.626,61.293
cos-residual,ToyConveyor,sp_max,61.509,10,62.33,20,59.766,50,46.136,49.048
cos-residual,Avg,sp_max,64.716,10,64.716,10,61.996,50,66.534,71.099
cos-residual,fan,sp_mean,58.998,10,60.193,4,57.284,50,81.912,88.137
cos-residual,pump,sp_mean,64.416,10,64.448,8,60.515,50,68.515,69.984
cos-residual,slider,sp_mean,88.498,10,89.204,50,89.204,50,95.09,87.991
cos-residual,valve,sp_mean,64.7,10,64.7,10,61.505,50,65.172,71.63
cos-residual,ToyCar,sp_mean,69.807,10,71.234,4,62.472,50,62.276,64.047
cos-residual,ToyConveyor,sp_mean,64.341,10,64.341,10,62.019,50,46.497,51.024
cos-residual,Avg,sp_mean,68.46,10,68.46,10,65.5,50,69.91,72.135
student-maha,fan,sp_max,57.486,40,60.307,4,57.344,50,81.597,88.184
student-maha,pump,sp_max,75.121,40,76.476,24,75.217,50,77.328,73.025
student-maha,slider,sp_max,89.897,40,89.955,50,89.955,50,95.4,88.088
student-maha,valve,sp_max,71.951,40,72.599,2,71.364,50,71.354,75.88
student-maha,ToyCar,sp_max,75.371,40,75.371,40,74.911,50,66.017,68.2
student-maha,ToyConveyor,sp_max,65.437,40,65.437,40,64.988,50,46.838,51.031
student-maha,Avg,sp_max,72.544,40,72.544,40,72.296,50,73.089,74.068
student-maha,fan,sp_mean,57.486,40,60.307,4,57.344,50,81.597,88.184
student-maha,pump,sp_mean,75.121,40,76.476,24,75.217,50,77.328,73.025
student-maha,slider,sp_mean,89.897,40,89.955,50,89.955,50,95.4,88.088
student-maha,valve,sp_mean,71.951,40,72.599,2,71.364,50,71.354,75.88
student-maha,ToyCar,sp_mean,75.371,40,75.371,40,74.911,50,66.017,68.2
student-maha,ToyConveyor,sp_mean,65.437,40,65.437,40,64.988,50,46.838,51.031
student-maha,Avg,sp_mean,72.544,40,72.544,40,72.296,50,73.089,74.068
student-knn,fan,sp_max,58.258,48,60.361,4,58.241,50,80.958,88.151
student-knn,pump,sp_max,75.604,48,76.717,10,75.616,50,77.619,74.194
student-knn,slider,sp_max,87.505,48,87.513,50,87.513,50,94.323,87.506
student-knn,valve,sp_max,70.662,48,73.927,4,70.865,50,69.423,76.167
student-knn,ToyCar,sp_max,70.214,48,70.214,48,69.933,50,60.114,65.323
student-knn,ToyConveyor,sp_max,62.193,48,62.201,46,62.068,50,44.444,49.351
student-knn,Avg,sp_max,70.74,48,70.74,48,70.706,50,71.147,73.449
student-knn,fan,sp_mean,58.258,48,60.361,4,58.241,50,80.958,88.151
student-knn,pump,sp_mean,75.604,48,76.717,10,75.616,50,77.619,74.194
student-knn,slider,sp_mean,87.505,48,87.513,50,87.513,50,94.323,87.506
student-knn,valve,sp_mean,70.662,48,73.927,4,70.865,50,69.423,76.167
student-knn,ToyCar,sp_mean,70.214,48,70.214,48,69.933,50,60.114,65.323
student-knn,ToyConveyor,sp_mean,62.193,48,62.201,46,62.068,50,44.444,49.351
student-knn,Avg,sp_mean,70.74,48,70.74,48,70.706,50,71.147,73.449
teacher-maha,fan,sp_max,58.441,2,58.441,2,58.441,50,81.526,88.132
teacher-maha,pump,sp_max,72.06,2,72.06,2,72.06,50,75.899,71.416
teacher-maha,slider,sp_max,90.779,2,90.779,2,90.779,50,95.959,88.251
teacher-maha,valve,sp_max,70.001,2,70.001,2,70.001,50,68.836,74.056
teacher-maha,ToyCar,sp_max,75.682,2,75.682,2,75.682,50,67.792,67.987
teacher-maha,ToyConveyor,sp_max,63.788,2,63.788,2,63.788,50,45.441,50.376
teacher-maha,Avg,sp_max,71.792,2,71.792,2,71.792,50,72.576,73.37
teacher-maha,fan,sp_mean,58.441,2,58.441,2,58.441,50,81.526,88.132
teacher-maha,pump,sp_mean,72.06,2,72.06,2,72.06,50,75.899,71.416
teacher-maha,slider,sp_mean,90.779,2,90.779,2,90.779,50,95.959,88.251
teacher-maha,valve,sp_mean,70.001,2,70.001,2,70.001,50,68.836,74.056
teacher-maha,ToyCar,sp_mean,75.682,2,75.682,2,75.682,50,67.792,67.987
teacher-maha,ToyConveyor,sp_mean,63.788,2,63.788,2,63.788,50,45.441,50.376
teacher-maha,Avg,sp_mean,71.792,2,71.792,2,71.792,50,72.576,73.37
teacher-knn,fan,sp_max,58.36,2,58.36,2,58.36,50,81.187,88.177
teacher-knn,pump,sp_max,74.886,2,74.886,2,74.886,50,77.717,73.028
teacher-knn,slider,sp_max,88.251,2,88.251,2,88.251,50,94.736,87.538
teacher-knn,valve,sp_max,69.467,2,69.467,2,69.467,50,68.149,75.191
teacher-knn,ToyCar,sp_max,74.138,2,74.138,2,74.138,50,63.997,67.652
teacher-knn,ToyConveyor,sp_max,64.157,2,64.157,2,64.157,50,45.856,50.542
teacher-knn,Avg,sp_max,71.543,2,71.543,2,71.543,50,71.94,73.688
teacher-knn,fan,sp_mean,58.36,2,58.36,2,58.36,50,81.187,88.177
teacher-knn,pump,sp_mean,74.886,2,74.886,2,74.886,50,77.717,73.028
teacher-knn,slider,sp_mean,88.251,2,88.251,2,88.251,50,94.736,87.538
teacher-knn,valve,sp_mean,69.467,2,69.467,2,69.467,50,68.149,75.191
teacher-knn,ToyCar,sp_mean,74.138,2,74.138,2,74.138,50,63.997,67.652
teacher-knn,ToyConveyor,sp_mean,64.157,2,64.157,2,64.157,50,45.856,50.542
teacher-knn,Avg,sp_mean,71.543,2,71.543,2,71.543,50,71.94,73.688
