sub,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,maha_concat_raw,58.44,72.06,90.78,70.02,75.68,63.79,71.80
1,maha_embed,55.76,69.42,87.40,56.77,74.26,58.28,66.98
1,logit_nll,74.32,82.72,78.46,91.40,83.45,60.72,78.51
1,neg_cos,75.23,85.65,83.63,90.51,83.22,62.96,80.20
2,maha_concat_raw,58.44,72.06,90.78,70.02,75.68,63.79,71.80
2,maha_embed,56.60,69.58,87.68,56.91,72.54,58.65,66.99
2,logit_nll,75.45,83.03,77.12,91.24,84.62,60.66,78.69
2,neg_cos,76.10,85.27,81.46,90.76,83.61,62.84,80.01
4,maha_concat_raw,58.44,72.06,90.78,70.02,75.68,63.79,71.80
4,maha_embed,56.63,72.22,87.74,59.08,74.29,59.22,68.20
4,logit_nll,75.74,82.70,78.14,92.55,84.27,60.71,79.02
4,neg_cos,76.88,84.56,81.80,92.16,83.58,62.42,80.23
