epoch,neg_cos_mean,logit_nll_mean,maha_embed_mean
1,78.50,75.32,75.43
2,82.24,75.00,78.08
3,83.76,75.55,78.99
4,83.76,75.16,78.93
5,80.32,73.94,78.51
6,85.72,74.73,79.88
7,81.07,74.37,78.71
8,82.98,74.41,79.03
9,83.25,73.87,79.85
10,83.76,74.16,80.38
11,85.14,74.34,81.78
12,82.84,71.43,80.05
13,82.87,73.31,80.59
14,81.73,71.77,79.91
15,82.90,72.62,79.71
16,85.86,74.07,79.70
17,84.60,72.96,78.35
18,82.77,72.55,79.77
19,82.15,71.27,79.62
20,83.63,72.50,80.44
21,82.97,73.23,80.69
22,81.63,72.42,79.30
23,81.57,70.61,79.97
24,83.17,72.07,79.70
25,81.88,73.75,79.14
26,82.58,72.27,79.35
27,79.89,71.21,78.50
28,80.54,72.45,79.38
29,83.07,73.91,80.00
30,83.12,72.34,80.30
31,83.82,72.67,80.31
32,83.96,74.20,80.14
33,83.73,71.72,79.62
34,82.26,72.21,78.95
35,81.09,71.45,79.85
36,81.86,71.23,80.94
37,84.37,72.98,79.48
38,82.27,72.30,79.11
39,83.36,71.84,79.15
40,82.41,71.20,78.85
41,79.89,71.66,80.26
42,81.08,70.94,79.40
43,79.36,70.08,79.95
44,82.93,69.23,79.73
45,80.27,70.33,80.45
46,81.29,70.41,80.59
47,81.58,70.50,81.45
48,81.23,71.69,80.97
49,84.20,71.14,81.03
50,82.92,69.95,80.57
