epoch,neg_cos_mean,logit_nll_mean,maha_embed_mean
1,74.60,73.99,80.19
2,74.96,73.71,77.99
3,74.74,73.70,79.87
4,76.75,73.49,82.16
5,73.86,71.29,79.31
6,75.99,72.85,82.21
7,76.44,72.49,82.74
8,78.81,72.74,81.95
9,76.42,70.99,84.43
10,78.41,73.02,81.87
11,73.78,71.10,82.57
12,75.36,71.40,82.97
13,77.18,72.84,81.50
14,77.19,70.76,83.37
15,75.24,72.90,82.79
16,74.02,71.97,82.72
17,74.74,72.30,81.90
18,76.93,71.09,82.62
19,76.01,71.12,81.89
20,78.35,72.62,82.29
21,77.19,71.12,81.39
22,75.21,70.31,81.84
23,72.81,71.11,79.86
24,72.42,70.63,79.82
25,78.36,71.73,80.20
26,75.73,71.82,80.78
27,75.23,70.96,83.06
28,74.90,71.79,80.43
29,73.39,72.03,81.91
30,75.41,70.86,80.90
31,78.39,71.30,82.18
32,74.73,73.21,80.30
33,78.09,73.36,83.86
34,79.18,70.60,82.42
35,78.78,73.83,79.06
36,77.14,71.36,82.17
37,77.89,70.53,80.11
38,78.09,74.98,82.34
39,80.83,72.30,82.62
40,73.68,71.27,81.05
41,76.43,72.21,80.26
42,74.48,70.60,82.58
43,81.91,74.09,84.02
44,77.85,71.50,82.82
45,76.94,71.93,82.54
46,76.63,72.23,82.69
47,79.30,71.11,82.21
48,75.41,71.60,81.59
49,79.49,74.47,81.78
50,75.92,72.74,82.24
