epoch,recon_spmean_mean,neg_cos_mean,maha_embed_mean,fusion_maha_mean
1,46.97,75.64,77.62,65.63
2,49.40,75.98,81.09,68.83
3,50.04,76.37,79.59,68.30
4,47.24,74.67,78.53,64.60
5,48.45,76.98,80.67,67.08
6,49.46,75.76,80.73,67.32
7,51.30,75.49,81.26,68.54
8,47.80,75.47,80.97,67.37
9,49.83,74.86,81.62,69.31
10,49.30,74.73,81.96,68.95
11,51.85,74.43,81.68,70.84
12,48.14,75.70,81.52,66.84
13,50.23,78.23,82.35,67.81
14,51.49,76.03,79.79,69.11
15,52.49,76.28,80.47,68.46
16,52.19,74.13,81.20,69.78
17,52.78,71.37,81.85,70.26
18,51.12,77.61,81.87,69.31
19,51.21,75.02,80.90,69.02
20,51.21,75.82,81.64,69.88
21,51.14,72.83,81.38,69.75
22,51.09,73.44,81.10,69.83
23,51.74,77.41,81.62,70.14
24,53.50,77.99,83.97,72.12
25,51.33,77.04,81.57,69.94
26,51.71,77.02,80.94,70.03
27,52.63,78.88,82.28,71.70
28,53.14,77.54,81.13,70.29
29,52.67,77.65,82.50,70.86
30,52.84,76.13,82.89,71.62
31,53.91,79.20,83.64,72.45
32,53.18,77.57,82.19,72.05
33,54.44,74.60,83.44,72.45
34,54.17,79.41,83.07,72.73
35,54.81,76.27,82.19,72.76
36,56.53,76.74,82.92,73.76
37,52.06,74.97,82.13,70.68
38,53.46,75.57,81.76,71.11
39,54.37,76.94,81.61,71.81
40,53.49,73.75,82.58,72.32
41,55.05,77.66,83.19,73.11
42,54.22,74.22,82.57,71.67
43,55.08,77.90,83.08,73.00
44,55.64,75.35,83.23,74.13
45,52.93,75.92,82.07,71.61
46,54.57,72.81,82.64,72.75
47,54.60,78.98,83.85,73.98
48,53.80,80.26,83.21,72.00
49,54.46,76.90,83.98,72.42
50,53.75,74.69,82.11,72.28
