epoch,maha_embed_mean,neg_cos_mean
1,79.73,77.09
2,81.32,80.40
3,83.17,78.69
4,78.77,77.67
5,83.04,77.89
6,84.03,76.92
7,82.60,74.77
8,84.35,77.47
9,84.95,80.67
10,83.70,78.46
11,83.86,78.51
12,84.85,75.40
13,82.90,77.56
14,84.67,77.14
15,86.07,79.44
16,84.85,78.64
17,83.23,77.71
18,84.57,74.20
19,83.98,78.46
20,84.57,76.96
21,84.90,80.11
22,86.74,81.28
23,85.34,80.64
24,84.84,75.24
25,84.23,80.80
26,83.01,76.91
27,85.07,77.33
28,83.98,76.01
29,85.28,80.62
30,85.18,75.69
31,84.85,75.45
32,86.12,79.08
33,84.37,77.26
34,85.69,80.18
35,85.48,76.29
36,83.02,78.20
37,85.15,77.13
38,86.85,77.43
39,84.91,79.23
40,86.46,78.37
41,85.74,81.02
42,83.17,79.24
43,82.82,79.42
44,85.30,74.21
45,83.74,79.24
46,83.67,77.79
47,84.68,78.55
48,85.59,77.15
49,83.46,77.55
50,85.10,77.10
