arm,seed,run,readout,best,peak_epoch,final,decay
no-aug,0,log-Mel,neg_cos,85.86,16,82.92,2.9399999999999977
no-aug,0,log-Mel,logit_nll,75.55,3,69.95,5.599999999999994
no-aug,0,log-Mel,maha_embed,81.78,11,80.57,1.210000000000008
no-aug,1,log-Mel_seed1,neg_cos,85.58,8,81.55,4.030000000000001
no-aug,1,log-Mel_seed1,logit_nll,77.24,1,72.7,4.539999999999992
no-aug,1,log-Mel_seed1,maha_embed,81.89999999999999,22,79.59,2.309999999999988
no-aug,2,log-Mel_seed2,neg_cos,86.22,9,81.10000000000001,5.11999999999999
no-aug,2,log-Mel_seed2,logit_nll,76.59,1,72.74000000000001,3.8499999999999943
no-aug,2,log-Mel_seed2,maha_embed,81.81,49,80.36,1.4500000000000028
aug,0,standard_seed0,neg_cos,83.98,16,75.3,8.680000000000007
aug,0,standard_seed0,logit_nll,79.14,35,78.56,0.5799999999999983
aug,0,standard_seed0,maha_embed,85.31,40,84.2,1.1099999999999994
aug,1,standard_seed1,neg_cos,80.12,2,75.14999999999999,4.970000000000013
aug,1,standard_seed1,logit_nll,78.72,4,75.44,3.280000000000001
aug,1,standard_seed1,maha_embed,84.75,49,84.28999999999999,0.46000000000000796
aug,2,standard_seed2,neg_cos,81.10000000000001,35,79.14,1.960000000000008
aug,2,standard_seed2,logit_nll,79.86999999999999,18,72.28,7.589999999999989
aug,2,standard_seed2,maha_embed,83.91999999999999,43,82.65,1.2699999999999818
aug-nomixup,0,nomixup_seed0,neg_cos,82.80999999999999,9,78.92,3.8899999999999864
aug-nomixup,0,nomixup_seed0,logit_nll,76.53,3,73.49,3.0400000000000063
aug-nomixup,0,nomixup_seed0,maha_embed,82.88,13,81.07,1.8100000000000023
aug-nomixup,1,nomixup_seed1,neg_cos,83.22,13,78.3,4.920000000000002
aug-nomixup,1,nomixup_seed1,logit_nll,76.55999999999999,2,73.75,2.809999999999988
aug-nomixup,1,nomixup_seed1,maha_embed,82.23,5,80.97,1.2600000000000051
aug-nomixup,2,nomixup_seed2,neg_cos,83.53,11,80.55,2.980000000000004
aug-nomixup,2,nomixup_seed2,logit_nll,76.63,3,74.07000000000001,2.559999999999988
aug-nomixup,2,nomixup_seed2,maha_embed,81.35,22,78.18,3.1699999999999875
