epoch,mean,ToyCar,ToyConveyor,fan,pump,slider,valve
0,72.056,78.697,63.482,72.376,71.562,77.645,68.572
10,87.359,89.559,69.929,82.669,87.694,97.324,96.979
20,87.842,91.522,70.053,82.114,88.28,97.617,97.466
30,87.818,91.526,66.616,83.597,90.356,98.279,96.535
40,89.555,92.696,74.421,83.921,90.36,98.413,97.52
50,88.919,92.467,71.151,83.484,91.097,98.319,97.0
60,88.492,91.447,69.502,83.497,90.879,98.061,97.564
70,88.783,91.242,69.882,83.656,91.536,98.429,97.951
80,89.269,93.087,72.783,81.725,91.543,98.219,98.259
90,88.912,91.981,70.404,83.78,91.428,98.37,97.51
100,88.638,91.643,72.11,82.64,89.134,98.324,97.979
110,90.059,94.014,73.665,83.547,91.702,98.571,98.851
120,89.32,93.849,72.173,83.269,89.468,98.604,98.554
130,89.968,93.591,73.632,85.307,90.288,98.677,98.312
140,89.951,94.31,71.018,86.074,90.847,98.899,98.558
150,89.97,94.709,72.111,85.672,90.069,98.766,98.492
160,90.304,94.463,73.707,85.611,91.088,98.621,98.332
170,90.03,93.958,72.337,85.52,91.137,98.711,98.521
180,90.747,94.721,74.265,87.093,90.943,98.871,98.587
190,90.511,94.187,74.117,86.39,90.505,99.228,98.64
200,89.634,92.755,71.558,86.076,89.693,99.174,98.55
210,89.756,94.076,72.306,85.744,88.978,99.122,98.31
220,90.468,94.219,73.579,86.468,91.112,99.188,98.243
230,90.529,93.647,73.687,85.966,92.14,99.133,98.598
240,90.282,93.468,74.66,84.825,90.872,99.142,98.722
250,90.094,93.708,73.4,84.49,90.934,98.897,99.136
260,89.671,92.892,73.639,83.214,90.793,98.921,98.57
270,89.899,93.106,73.229,84.424,90.911,99.062,98.659
280,89.816,94.026,71.921,85.374,90.196,98.726,98.655
290,89.954,94.131,71.748,85.246,90.845,98.907,98.85
300,89.915,94.026,73.019,83.885,90.79,98.949,98.823
