,stgram,ours,cls
ToyCar/id_01,83.75432900432901,94.38333333333333,ToyCar
ToyCar/id_02,95.66361185983827,96.21,ToyCar
ToyCar/id_03,99.4690026954178,99.45,ToyCar
ToyCar/id_04,99.99892183288411,99.85666666666667,ToyCar
ToyConveyor/id_01,85.50546875,85.14999999999999,ToyConveyor
ToyConveyor/id_02,62.441197183098595,66.46333333333332,ToyConveyor
ToyConveyor/id_03,74.84919529693808,75.16,ToyConveyor
fan/id_00,75.54422604422604,74.21666666666667,fan
fan/id_02,98.991643454039,89.8,fan
fan/id_04,79.66235632183907,82.41333333333334,fan
fan/id_06,94.17451523545705,95.76333333333334,fan
pump/id_00,92.5104895104895,91.99333333333334,pump
pump/id_02,75.2792792792793,84.45,pump
pump/id_04,98.895,99.37666666666667,pump
pump/id_06,97.08823529411765,96.14333333333333,pump
slider/id_00,99.99999999999999,99.74333333333334,slider
slider/id_02,96.28277153558052,96.93,slider
slider/id_04,100.0,97.46,slider
slider/id_06,99.20224719101124,96.03000000000002,slider
valve/id_00,99.98319327731092,99.70333333333333,valve
valve/id_02,97.71666666666667,99.86,valve
valve/id_04,99.33333333333334,98.81333333333333,valve
valve/id_06,97.31666666666666,98.12,valve
