model,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
ResNet18 PaDiM - General,0.6301290392875671,0.8441907167434692,0.8330680131912231,0.23341023921966553
Wide ResNet50-2 PaDiM - General,0.6538862586021423,0.8463373184204102,0.8433226943016052,0.26728078722953796
ResNet18 PaDiM - bottle,0.9285714626312256,0.9059829115867615,0.907520592212677,0.512254536151886
Wide ResNet50-2 PaDiM - bottle,0.9452381134033203,0.9279999732971191,0.9233313798904419,0.4681135416030884
ResNet18 PaDiM - cable,0.5350449681282043,0.7551867365837097,0.7796866297721863,0.1906362920999527
Wide ResNet50-2 PaDiM - cable,0.6813156008720398,0.7722772359848022,0.8879506587982178,0.26664331555366516
ResNet18 PaDiM - capsule,0.7108097672462463,0.9152542352676392,0.9767821431159973,0.3644079864025116
Wide ResNet50-2 PaDiM - capsule,0.7865975499153137,0.9264069199562073,0.9373850226402283,0.28006306290626526
ResNet18 PaDiM - carpet,0.6942214965820312,0.8585366010665894,0.8531641960144043,0.3294566869735718
Wide ResNet50-2 PaDiM - carpet,0.4961877465248108,0.8585366010665894,0.813085675239563,0.2336835265159607
ResNet18 PaDiM - grid,0.4803675413131714,0.8358209133148193,0.4552494287490845,0.014156128279864788
Wide ResNet50-2 PaDiM - grid,0.8170425891876221,0.8617886304855347,0.5869264602661133,0.027503006160259247
ResNet18 PaDiM - hazelnut,0.9007142186164856,0.8571428656578064,0.97650146484375,0.5400428175926208
Wide ResNet50-2 PaDiM - hazelnut,0.923214316368103,0.8873239159584045,0.9722219705581665,0.45831596851348877
ResNet18 PaDiM - leather,0.7581522464752197,0.8465116024017334,0.9026589393615723,0.3407282829284668
Wide ResNet50-2 PaDiM - leather,0.66236412525177,0.8465116024017334,0.9285545349121094,0.3266134262084961
ResNet18 PaDiM - metal_nut,0.6295210719108582,0.8888888955116272,0.8485311269760132,0.4330078661441803
Wide ResNet50-2 PaDiM - metal_nut,0.5283480882644653,0.8888888955116272,0.9213789701461792,0.5806592702865601
ResNet18 PaDiM - pill,0.7018548250198364,0.9120520949363708,0.941448450088501,0.44071894884109497
Wide ResNet50-2 PaDiM - pill,0.7861429452896118,0.9120520949363708,0.9534227848052979,0.530693531036377
ResNet18 PaDiM - screw,0.5523672699928284,0.8489208817481995,0.9427340030670166,0.07173588871955872
Wide ResNet50-2 PaDiM - screw,0.37794631719589233,0.8489208817481995,0.9316267967224121,0.11558526009321213
ResNet18 PaDiM - tile,0.7857142686843872,0.8426395654678345,0.6724480986595154,0.2561647295951843
Wide ResNet50-2 PaDiM - tile,0.7341269254684448,0.8367347121238708,0.787307620048523,0.45329099893569946
ResNet18 PaDiM - toothbrush,0.8027777671813965,0.8307692408561707,0.9683297872543335,0.4522799551486969
Wide ResNet50-2 PaDiM - toothbrush,0.925000011920929,0.8999999761581421,0.9789536595344543,0.5276269316673279
ResNet18 PaDiM - transistor,0.7875000238418579,0.6933333277702332,0.8406374454498291,0.4152754843235016
Wide ResNet50-2 PaDiM - transistor,0.8270833492279053,0.7216494679450989,0.9025281667709351,0.48772674798965454
ResNet18 PaDiM - wood,0.948245644569397,0.9411764740943909,0.8512588143348694,0.3277249336242676
Wide ResNet50-2 PaDiM - wood,0.9464913010597229,0.9491525292396545,0.8683637380599976,0.363398939371109
ResNet18 PaDiM - zipper,0.7295168042182922,0.8960000276565552,0.712385892868042,0.14217644929885864
Wide ResNet50-2 PaDiM - zipper,0.7996323108673096,0.9068825840950012,0.7581399083137512,0.11544287204742432
